onset	duration	response_time	value	stimuli
6688	3000	1371	1	BIRDNEST.bmp
13691	4000	976	1	CUP.bmp     
21680	4000	1235	0	GORILLA.bmp 
29686	4000	1028	1	EAR.bmp     
37691	4000	1290	0	ENVELOPE.bmp
45680	4000	1470	1	EYE.bmp     
53685	4000	1164	1	CLOWN.bmp   
61691	3000	1386	1	ELEPHANT.bmp
68679	3000	1252	1	BOOT.bmp    
75684	3000	1141	1	GUITAR.bmp  
82689	3000	1292	1	FRYINGPA.bmp
89677	4000	1043	1	BOWL.bmp    
97682	3000	1427	1	DONKEY.bmp  
104687	3000	1573	1	ARTICHOK.bmp
111676	3000	1107	1	FLOWER.bmp  
118680	3000	1184	1	BUTTERFL.bmp
125685	4000	1848	1	EAGLE.bmp   
133675	3000	1126	1	GLOVE.bmp   
140678	4000	1558	1	HAMMOCK.bmp 
148683	3000	1139	1	BRAIN.bmp   
155688	4000	1280	1	DRAGONFL.bmp
163677	4000	1198	1	ACCORDIO.bmp
171683	4000	1078	1	BICYCLE.bmp 
179688	4000	1150	1	BOW.bmp     
187677	4000	957	1	BOTTLE.bmp  
195683	4000	733	1	CAT.bmp     
203688	4000	1719	1	DUSTPAN.bmp 
211677	3000	1266	1	BEE.bmp     
218682	3000	2086	0	DEER.bmp    
225687	4000	1033	1	FISH.bmp    
233675	3000	1118	1	BEAR.bmp    
240680	4000	1684	1	ASPARAGU.bmp
248686	4000	958	1	CAR.bmp     
256675	3000	917	1	CANNON.bmp  
263680	3000	1293	1	CLOUD.bmp   
270683	4000	1050	1	FLAG.bmp    
278672	4000	884	1	ALLIGATO.bmp
286678	3000	1037	1	AIRPLANE.bmp
293683	3000	1283	1	FEATHER.bmp 
300671	3000	988	1	CHEESE.bmp  
307676	4000	1164	1	DOLPHIN.bmp 
315681	3000	1006	1	CATERPIL.bmp
322670	4000	1214	1	COAT.bmp    
330675	3000	1542	0	CHIMNEY.bmp 
337680	3000	1084	1	CRAB.bmp    
344684	4000	1302	1	BOX.bmp     
352673	4000	1230	1	DOGHOUSE.bmp
360679	4000	1557	1	AXE.bmp     
368684	3000	1231	1	frenchcr.bmp
375673	4000	1264	1	CHICKEN.bmp 
383678	3000	1167	1	DRESS.bmp   
390682	4000	1182	1	ASHTRAY.bmp 
398671	3000	906	1	GARBAGEC.bmp
405676	4000	1504	1	FAN.bmp     
413681	3000	2092	1	CORN.bmp    
420669	4000	1258	1	SCORPION.bmp
428675	4000	974	1	FORK.bmp    
436680	4000	1149	1	FAUCET.bmp  
444669	3000	1872	1	FUNNEL.bmp  
451674	3000	1268	1	DRESSER.bmp 
458679	4000	1220	1	CROWN.bmp   
466668	3000	1669	1	ANCHOR.bmp  
473672	4000	893	1	CARROT.bmp  
481678	3000	1275	1	BIRDCAGE.bmp
488667	3000	1148	1	RAY.bmp     
495671	3000	943	1	BENCH.bmp   
502676	3000	1310	0	COMPASS.bmp 
509680	4000	889	1	APPLE.bmp   
517668	3000	1042	1	ACORN.bmp   
524673	4000	994	1	BELT.bmp    
532679	3000	1146	1	BROOM.bmp   
539667	4000	1105	1	COW.bmp     
547672	4000	1491	0	DOORKNOB.bmp
555678	3000	1804	1	CAP.bmp     
