onset	duration	response_time	value	stimuli
4499	2000	1147	1	ski.bmp     
10503	3000	1342	1	WINDOW.bmp  
17493	2000	994 	1	PIPE.bmp    
23496	2000	911 	1	LIGHTBUL.bmp
29500	3000	929 	1	PIANO.bmp   
36505	2000	757 	1	MOON.bmp    
42492	2000	727 	1	ROCKET.bmp  
48496	3000	813 	1	WHIP.bmp    
55501	3000	890 	1	MOTORCYC.bmp
62506	2000	1396	1	SCREW.bmp   
68493	3000	1072	1	WOLF.bmp    
75498	3000	717 	1	LADYBUG.bmp 
82503	3000	1349	1	PICTURE.bmp 
89492	3000	862 	1	NECKLACE.bmp
96496	3000	896 	1	PANTS.bmp   
103501	2000	721 	1	SQUIRREL.bmp
109505	2000	1191	1	MOUNTAIN.bmp
115492	3000	1308	1	LEG.bmp     
122497	2000	821 	1	MONKEY.bmp  
128501	3000	2930	0	NAIL.bmp    
135490	2000	1090	1	ROOSTER.bmp 
141493	2000	1135	1	NAILFILE.bmp
147497	3000	814 	1	SNAIL.bmp   
154502	3000	866 	1	UMBRELLA.bmp
161490	3000	1151	1	TIE.bmp     
168495	3000	974 	1	SAW.bmp     
175500	2000	1105	1	PELICAN.bmp 
181504	3000	1240	1	LOCK.bmp    
188492	3000	755 	1	LADDER.bmp  
195497	3000	1167	1	SYRINGE.bmp 
202502	2000	811 	1	SOCK.bmp    
208490	2000	1354	1	CIGARETT.bmp
214494	2000	1020	1	SKIRT.bmp   
220498	2000	1110	1	GLASS.bmp   
226501	3000	752 	1	SHOE.bmp    
233489	3000	886 	1	WELL.bmp    
240494	2000	1019	1	HARP.bmp    
246498	3000	1122	1	TRACTOR.bmp 
253487	2000	797 	1	TRUMPET.bmp 
259491	2000	833 	1	PAINTBRU.bmp
265495	2000	1081	1	Scale.bmp   
271499	3000	2608	0	MICROSCO.bmp
278487	2000	803 	1	NOSE.bmp    
284491	3000	777 	1	TIGER.bmp   
291496	3000	950 	1	SKULL.bmp   
298501	2000	778 	1	LAMP.bmp    
304488	3000	773 	1	RAT.bmp     
311493	2000	659 	1	RULER.bmp   
317497	2000	749 	1	RABBIT.bmp  
323502	2000	1264	1	HARMONIC.bmp
329489	2000	829 	1	HAMMER.bmp  
335492	3000	834 	1	VASE.bmp    
342497	3000	1435	1	PLUG.bmp    
349485	2000	1059	1	PEACOCK.bmp 
355489	3000	783 	1	TELEPHON.bmp
362494	3000	663 	1	HAT.bmp     
369499	3000	971 	1	OSTRICH.bmp 
376487	3000	999 	1	HYENA.bmp   
383492	2000	1074	1	STOOL.bmp   
389496	3000	1087	1	POT.bmp     
396484	3000	826 	1	WHEEL.bmp   
403489	2000	708 	1	ZEBRA.bmp   
409493	2000	1694	1	PLIERS.bmp  
415498	2000	rien	0	WEATHERV.bmp
421485	2000	808 	1	LION.bmp    
427489	3000	842 	1	KNIFE.bmp   
434494	2000	922 	1	SWAN.bmp    
440497	2000	793 	1	PEAR.bmp    
446485	2000	820 	1	SNAKE.bmp   
452489	3000	925 	1	PALMTREE.bmp
459494	2000	1432	1	WATERING.bmp
465482	3000	1068	1	SPIDER.bmp  
472486	2000	943 	1	RING.bmp    
478490	2000	941 	1	SHIRT.bmp   
