onset	duration	response_time	value	stimuli
4630	3000	1223	1	FRYINGPA.bmp
11634	3000	1065	0	BOWL.bmp    
18639	3000	709	1	EAGLE.bmp   
25628	3000	659	1	BELT.bmp    
32632	3000	1046	1	AXE.bmp     
39637	3000	7230	1	BEE.bmp     
46642	2000	896	1	HAMMOCK.bmp 
52629	3000	816	1	DOLPHIN.bmp 
59634	3000	990	1	FISH.bmp    
66638	2000	938	1	FAUCET.bmp  
72626	3000	625	1	ACCORDIO.bmp
79630	2000	846	1	EAR.bmp     
85634	3000	892	1	BOW.bmp     
92639	3000	765	1	FEATHER.bmp 
99627	3000	1060	1	CORN.bmp    
106632	2000	712	1	ACORN.bmp   
112636	2000	865	1	BOX.bmp     
118640	3000	909	1	BIRDCAGE.bmp
125629	2000	647	1	DRESS.bmp   
131633	2000	1289	1	RAY.bmp     
137637	2000	898	1	BUTTERFL.bmp
143625	3000	1008	1	DOORKNOB.bmp
150629	3000	774	1	CAR.bmp     
157634	3000	928	1	APPLE.bmp   
164639	2000	753	1	GARBAGEC.bmp
170625	2000	849	1	BRAIN.bmp   
176630	2000	1400	0	ASPARAGU.bmp
182634	3000	927	1	DUSTPAN.bmp 
189639	3000	905	1	GORILLA.bmp 
196627	2000	737	1	FLAG.bmp    
202631	3000	836	1	ANCHOR.bmp  
209636	2000	1185	1	DRESSER.bmp 
215623	2000	1709	1	CHICKEN.bmp 
221627	2000	957	1	CATERPIL.bmp
227632	2000	951	1	DOGHOUSE.bmp
233636	3000	917	1	CAP.bmp     
240624	3000	830	1	CUP.bmp     
247629	2000	773	1	BIRDNEST.bmp
253633	2000	910	1	BICYCLE.bmp 
259637	3000	799	1	CARROT.bmp  
266624	2000	817	1	BROOM.bmp   
272628	2000	1041	1	FAN.bmp     
278632	2000	733	1	COW.bmp     
284621	3000	912	1	FUNNEL.bmp  
291625	3000	767	1	CHEESE.bmp  
298630	2000	1144	0	COAT.bmp    
304634	2000	910	1	BEAR.bmp    
310621	3000	1104	1	BOTTLE.bmp  
317626	3000	844	1	FLOWER.bmp  
324631	3000	806	1	BOOT.bmp    
331636	2000	737	1	ELEPHANT.bmp
337623	3000	829	1	SCORPION.bmp
344628	2000	733	1	BENCH.bmp   
350632	3000	763	1	GUITAR.bmp  
357620	2000	719	1	CHIMNEY.bmp 
363624	3000	978	1	CRAB.bmp    
370628	2000	769	1	CLOUD.bmp   
376633	2000	870	1	frenchcr.bmp
382620	3000	914	1	GLOVE.bmp   
389625	3000	882	1	COMPASS.bmp 
396630	3000	1785	0	ASHTRAY.bmp 
403619	2000	924	1	CANNON.bmp  
409622	3000	967	1	DRAGONFL.bmp
416627	2000	793	1	CLOWN.bmp   
422631	3000	813	1	ALLIGATO.bmp
429619	3000	1468	1	ARTICHOK.bmp
436624	2000	826	1	AIRPLANE.bmp
442628	2000	1028	1	DEER.bmp    
448632	2000	860	1	FORK.bmp    
454620	3000	870	1	ENVELOPE.bmp
461625	2000	760	1	EYE.bmp     
467628	2000	995	1	CROWN.bmp   
473617	3000	768	1	DONKEY.bmp  
480620	2000	779	1	CAT.bmp     
