onset	duration	response_time	value	stimuli
4603	3000	1374	1	DRESS.bmp   
11607	3000	1526	1	DRESSER.bmp 
18612	3000	1359	0	GORILLA.bmp 
25600	2000	936 	1	CAT.bmp     
31604	3000	1734	1	AXE.bmp     
38609	3000	1147	1	ACCORDIO.bmp
45614	3000	2293	1	CLOUD.bmp   
52602	3000	1075	1	CHEESE.bmp  
59607	3000	1241	1	BENCH.bmp   
66612	3000	rien	0	BOX.bmp     
73600	2000	1112	1	ARTICHOK.bmp
79604	3000	1649	1	BELT.bmp    
86609	2000	1152	1	BROOM.bmp   
92613	3000	856 	1	GUITAR.bmp  
99601	2000	1070	1	CLOWN.bmp   
105605	3000	1859	1	DEER.bmp    
112610	2000	1255	1	COW.bmp     
118615	2000	1082	1	BOW.bmp     
124602	3000	1218	1	CORN.bmp    
131606	3000	1660	0	ACORN.bmp   
138611	3000	1925	1	BOWL.bmp    
145599	2000	1941	1	RAY.bmp     
151603	3000	1884	1	BRAIN.bmp   
158608	2000	3012	1	CANNON.bmp  
164612	2000	1206	1	BOOT.bmp    
170599	2000	1731	1	COAT.bmp    
176604	3000	2115	0	CATERPIL.bmp
183608	3000	2541	1	BEE.bmp     
190613	2000	1243	1	FLOWER.bmp  
196601	2000	1966	1	ASPARAGU.bmp
202605	2000	1121	1	frenchcr.bmp
208609	2000	2045	1	GLOVE.bmp   
214613	3000	2825	1	CAP.bmp     
221601	3000	1481	1	FLAG.bmp    
228606	3000	1204	1	ALLIGATO.bmp
235611	2000	1186	1	AIRPLANE.bmp
241599	2000	1495	1	ENVELOPE.bmp
247603	3000	1526	1	BIRDNEST.bmp
254608	3000	1902	1	DRAGONFL.bmp
261612	2000	1324	1	DONKEY.bmp  
267599	2000	3065	1	DOGHOUSE.bmp
273604	2000	1468	1	HAMMOCK.bmp 
279607	3000	1564	1	FUNNEL.bmp  
286612	3000	1218	1	CHIMNEY.bmp 
293600	2000	1035	1	APPLE.bmp   
299604	3000	1890	1	CUP.bmp     
306609	3000	1929	1	FEATHER.bmp 
313598	3000	1185	1	GARBAGEC.bmp
320602	2000	879 	1	BICYCLE.bmp 
326606	2000	1213	1	CRAB.bmp    
332611	2000	1884	1	FAN.bmp     
338598	3000	1514	1	CROWN.bmp   
345603	3000	1672	1	BIRDCAGE.bmp
352608	3000	1210	1	CAR.bmp     
359613	3000	2777	0	DOORKNOB.bmp
366601	2000	1470	1	FRYINGPA.bmp
372605	2000	994 	1	FORK.bmp    
378609	2000	1233	1	BUTTERFL.bmp
384598	2000	1333	1	ELEPHANT.bmp
390601	2000	rien	0	SCORPION.bmp
396605	2000	1035	1	DOLPHIN.bmp 
402608	2000	1093	1	FISH.bmp    
408613	3000	3303	0	EAGLE.bmp   
415600	3000	995 	1	EAR.bmp     
422605	2000	1053	1	BEAR.bmp    
428609	3000	1547	1	CHICKEN.bmp 
435597	2000	1250	1	DUSTPAN.bmp 
441602	2000	1208	1	ANCHOR.bmp  
447606	2000	1188	1	CARROT.bmp  
453610	2000	1115	1	BOTTLE.bmp  
459597	2000	1948	1	ASHTRAY.bmp 
465602	3000	2088	1	COMPASS.bmp 
472606	3000	1243	1	EYE.bmp     
479611	3000	1358	1	FAUCET.bmp  
