onset	duration	response_time	value	stimuli
3208	3000	708	1	FORK.bmp    
10213	2000	1115	1	AIRPLANE.bmp
17201	2000	1473	1	RAY.bmp     
24206	3000	724	1	BELT.bmp    
31210	2000	924	1	CAP.bmp     
38215	2000	1874	1	CATERPIL.bmp
45203	3000	1323	1	BOX.bmp     
52208	2000	1435	1	COW.bmp     
58212	3000	798	1	ALLIGATO.bmp
64199	3000	1012	1	SCORPION.bmp
71204	3000	1927	1	CLOUD.bmp   
78209	2000	712	1	CARROT.bmp  
84213	2000	937	1	BOOT.bmp    
91201	3000	720	1	FLAG.bmp    
98206	3000	1516	1	BENCH.bmp   
104210	3000	774	1	CLOWN.bmp   
110199	3000	797	1	EAR.bmp     
117202	2000	899	1	BUTTERFL.bmp
123206	2000	829	1	BRAIN.bmp   
130211	3000	1479	1	COMPASS.bmp 
137199	3000	673	1	FLOWER.bmp  
144204	3000	645	1	CAR.bmp     
151209	3000	1038	1	HAMMOCK.bmp 
157213	2000	1048	0	ENVELOPE.bmp
163201	3000	1924	1	BIRDCAGE.bmp
169205	2000	895	1	CHICKEN.bmp 
175208	3000	824	1	COAT.bmp    
181213	3000	1699	1	ASPARAGU.bmp
188200	2000	868	1	CANNON.bmp  
194204	2000	867	1	BROOM.bmp   
201209	3000	837	1	BEAR.bmp    
207197	2000	978	1	FAUCET.bmp  
213201	3000	1654	1	ACORN.bmp   
219205	2000	1025	1	FUNNEL.bmp  
225209	2000	1445	1	DOGHOUSE.bmp
232197	2000	649	1	CAT.bmp     
238201	2000	827	1	FISH.bmp    
245206	2000	2218	1	DOORKNOB.bmp
252211	3000	931	1	CUP.bmp     
259199	3000	882	1	GUITAR.bmp  
265203	2000	919	1	AXE.bmp     
272208	2000	1323	1	frenchcr.bmp
278196	3000	2461	1	FRYINGPA.bmp
284200	3000	919	1	CROWN.bmp   
290203	3000	2248	1	DUSTPAN.bmp 
296207	2000	900	1	GLOVE.bmp   
303195	3000	972	1	BIRDNEST.bmp
309199	3000	1533	1	CHEESE.bmp  
316204	3000	1096	1	CHIMNEY.bmp 
323209	2000	1037	1	DOLPHIN.bmp 
330197	3000	917	1	BEE.bmp     
336201	2000	1073	1	FEATHER.bmp 
342205	2000	1436	1	DRESSER.bmp 
349195	2000	856	1	DONKEY.bmp  
355198	2000	887	1	BOW.bmp     
361202	3000	918	1	ANCHOR.bmp  
368207	2000	1200	1	CORN.bmp    
374194	3000	865	1	ACCORDIO.bmp
381199	3000	1186	1	DRESS.bmp   
387203	2000	911	1	GARBAGEC.bmp
393206	3000	1048	1	APPLE.bmp   
400195	2000	913	1	EYE.bmp     
407199	2000	1506	1	BOTTLE.bmp  
414204	3000	2272	1	DEER.bmp    
421193	2000	1018	1	GORILLA.bmp 
428197	2000	1466	1	ELEPHANT.bmp
435202	2000	1214	1	BOWL.bmp    
442207	2000	1027	1	BICYCLE.bmp 
449195	3000	831	1	CRAB.bmp    
455199	3000	890	1	FAN.bmp     
461203	3000	1295	1	EAGLE.bmp   
467207	2000	1222	1	ASHTRAY.bmp 
473195	3000	2040	1	DRAGONFL.bmp
479199	3000	1206	1	ARTICHOK.bmp
