onset	duration	response_time	value	stimuli
3736	3000	1342	1	ACCORDIO.bmp
10724	3000	1220	0	CATERPIL.bmp
17728	3000	848 	0	COMPASS.bmp 
24733	3000	937 	0	FRYINGPA.bmp
31721	2000	1235	1	CORN.bmp    
37726	2000	1899	0	DOGHOUSE.bmp
43730	2000	841 	1	ALLIGATO.bmp
49734	3000	813 	1	FISH.bmp    
56722	2000	1229	1	DONKEY.bmp  
62726	2000	895 	1	COW.bmp     
68730	2000	rien	0	DUSTPAN.bmp 
74735	3000	818 	1	DRAGONFL.bmp
81723	3000	1071	1	BENCH.bmp   
88728	3000	1416	1	BUTTERFL.bmp
95731	3000	839 	1	EAR.bmp     
102720	3000	838 	1	BOTTLE.bmp  
109724	3000	1291	0	CAP.bmp     
116729	3000	1079	1	DOLPHIN.bmp 
123734	3000	1156	1	FAUCET.bmp  
130722	2000	1021	1	AIRPLANE.bmp
136726	2000	934 	1	ENVELOPE.bmp
142731	2000	1040	1	BEAR.bmp    
148735	2000	1252	1	BOOT.bmp    
154722	3000	765 	1	ELEPHANT.bmp
161727	2000	rien	0	ASHTRAY.bmp 
167731	2000	971 	1	GARBAGEC.bmp
173720	2000	1806	1	CHICKEN.bmp 
179723	3000	1351	0	FEATHER.bmp 
186728	2000	926 	1	COAT.bmp    
192732	3000	1588	1	BIRDCAGE.bmp
199720	3000	rien	0	ASPARAGU.bmp
206725	3000	691 	1	BICYCLE.bmp 
213729	2000	2322	0	FLOWER.bmp  
219733	3000	1159	0	GORILLA.bmp 
226721	3000	737 	1	FORK.bmp    
233726	2000	1127	1	BIRDNEST.bmp
239730	2000	2181	1	RAY.bmp     
245719	2000	2471	1	ACORN.bmp   
251722	2000	1116	1	CRAB.bmp    
257726	2000	1605	1	ARTICHOK.bmp
263730	3000	1311	1	BROOM.bmp   
270719	3000	1773	1	frenchcr.bmp
277723	2000	1798	0	BEE.bmp     
283727	3000	1271	1	CLOWN.bmp   
290732	3000	998 	1	AXE.bmp     
297720	2000	1031	1	BOW.bmp     
303724	2000	1938	1	CLOUD.bmp   
309728	2000	1009	1	GUITAR.bmp  
315732	2000	783 	1	ANCHOR.bmp  
321720	2000	700 	1	BELT.bmp    
327724	2000	1840	1	HAMMOCK.bmp 
333727	3000	1051	1	CAT.bmp     
340732	2000	1312	1	DRESSER.bmp 
346719	3000	rien	0	DOORKNOB.bmp
353724	2000	1120	1	APPLE.bmp   
359729	2000	1513	1	CANNON.bmp  
365733	3000	2185	0	DRESS.bmp   
372721	3000	1871	1	EAGLE.bmp   
379726	3000	2118	0	DEER.bmp    
386731	2000	2629	1	SCORPION.bmp
392718	3000	2045	1	BOWL.bmp    
399723	3000	1048	1	GLOVE.bmp   
406728	3000	842 	1	BRAIN.bmp   
413732	3000	957 	1	EYE.bmp     
420721	2000	973 	1	CUP.bmp     
426725	3000	919 	1	CROWN.bmp   
433730	3000	1096	1	FAN.bmp     
440718	2000	925 	1	CHIMNEY.bmp 
446721	2000	1160	1	FLAG.bmp    
452725	2000	1035	1	CARROT.bmp  
458729	3000	rien	0	BOX.bmp     
465718	3000	1073	1	FUNNEL.bmp  
472722	2000	2670	0	CHEESE.bmp  
478726	3000	1564	1	CAR.bmp     
