onset	duration	response_time	value	stimuli
3298	4000	1569	1	CIGARETT.bmp
11303	4000	1650	1	TIE.bmp     
19309	4000	1812	1	WELL.bmp    
27298	4000	1180	1	SKULL.bmp   
34303	4000	rien	0	WATERING.bmp
42308	4000	1293	1	NAIL.bmp    
50297	4000	1547	1	RING.bmp    
57302	3000	1592	1	RAT.bmp     
65307	3000	2024	1	LIGHTBUL.bmp
72296	4000	2052	1	SKIRT.bmp   
80301	3000	1585	1	PIPE.bmp    
88307	4000	1078	1	GLASS.bmp   
96295	4000	1527	1	ROOSTER.bmp 
104301	4000	2109	1	LAMP.bmp    
112306	3000	1639	1	POT.bmp     
120294	4000	2436	1	TRUMPET.bmp 
127299	3000	rien	0	PALMTREE.bmp
134304	4000	rien	0	HARMONIC.bmp
142294	4000	1420	1	WOLF.bmp    
150299	4000	2428	1	TRACTOR.bmp 
157303	3000	1519	1	LEG.bmp     
165309	3000	1888	1	SAW.bmp     
173298	3000	1941	1	SYRINGE.bmp 
181303	4000	1883	0	TELEPHON.bmp
189309	3000	2181	1	Scale.bmp   
196297	4000	2232	1	WEATHERV.bmp
203302	3000	2305	1	HAT.bmp     
210307	4000	2306	1	NAILFILE.bmp
217295	3000	rien	0	MICROSCO.bmp
225299	3000	1728	1	STOOL.bmp   
232304	4000	2356	1	SOCK.bmp    
239293	3000	1322	1	NOSE.bmp    
246297	4000	2234	1	ZEBRA.bmp   
254303	4000	2407	1	LADDER.bmp  
261308	3000	rien	0	SQUIRREL.bmp
269296	3000	1545	1	SHOE.bmp    
276301	4000	rien	0	LADYBUG.bmp 
284307	4000	2476	1	ROCKET.bmp  
292296	3000	2036	1	SNAIL.bmp   
300301	3000	1360	1	RULER.bmp   
308307	4000	2200	1	TIGER.bmp   
315295	4000	3015	1	HARP.bmp    
322300	3000	1340	1	SHIRT.bmp   
329305	3000	1887	1	LOCK.bmp    
336292	3000	1548	1	SCREW.bmp   
343297	4000	1293	1	NECKLACE.bmp
350301	3000	1415	1	WINDOW.bmp  
357306	4000	1619	1	MONKEY.bmp  
364294	3000	2191	1	PLIERS.bmp  
371299	3000	1690	1	PANTS.bmp   
378304	3000	1544	1	PIANO.bmp   
385292	4000	1509	1	WHEEL.bmp   
392297	4000	1916	1	ski.bmp     
400303	3000	2263	1	MOUNTAIN.bmp
407308	3000	2120	1	PLUG.bmp    
415296	4000	1102	1	VASE.bmp    
423302	4000	3229	1	OSTRICH.bmp 
431307	4000	2434	1	HYENA.bmp   
438296	3000	rien	0	WHIP.bmp    
445300	3000	2611	1	SWAN.bmp    
452304	4000	2041	1	SPIDER.bmp  
459292	3000	1555	1	SNAKE.bmp   
467298	3000	1379	1	PICTURE.bmp 
474303	4000	1841	1	PAINTBRU.bmp
481291	4000	1815	1	KNIFE.bmp   
488296	3000	1898	1	MOON.bmp    
495301	3000	rien	0	PELICAN.bmp 
503306	3000	1735	1	RABBIT.bmp  
511295	3000	2585	0	UMBRELLA.bmp
519301	4000	rien	0	PEAR.bmp    
526305	3000	2512	1	PEACOCK.bmp 
533294	3000	1436	1	HAMMER.bmp  
541299	3000	1055	1	MOTORCYC.bmp
549305	3000	1135	1	LION.bmp    
