onset	duration	response_time	value	stimuli
3562	3000	1216	1	BUTTERFL.bmp
11550	3000	2107	1	RAY.bmp     
19556	4000	1824	1	EAGLE.bmp   
26561	4000	1981	0	CAP.bmp     
33549	3000	2980	1	SCORPION.bmp
41554	3000	1378	1	BROOM.bmp   
49560	4000	3077	1	DUSTPAN.bmp 
57549	3000	2039	1	CHICKEN.bmp 
64554	4000	1427	1	CUP.bmp     
71558	4000	2029	1	FLOWER.bmp  
78563	3000	1650	1	ACORN.bmp   
85551	3000	1468	1	EAR.bmp     
92556	4000	1805	1	FLAG.bmp    
99560	4000	1906	1	BIRDNEST.bmp
106548	4000	1319	1	AXE.bmp     
114554	3000	2183	1	COW.bmp     
122559	4000	1163	1	CARROT.bmp  
130548	3000	1264	1	CLOUD.bmp   
138554	3000	1432	1	BOW.bmp     
146559	4000	1544	0	ALLIGATO.bmp
153547	4000	1963	0	DOORKNOB.bmp
160552	4000	1742	0	BOWL.bmp    
168558	4000	1333	1	GARBAGEC.bmp
175563	4000	1130	0	ENVELOPE.bmp
182551	3000	1055	1	GLOVE.bmp   
190556	3000	1568	0	CHIMNEY.bmp 
198561	4000	1955	1	DEER.bmp    
205549	4000	1598	1	CORN.bmp    
213555	4000	1253	1	CANNON.bmp  
220559	3000	rien	0	HAMMOCK.bmp 
227548	3000	1846	1	CLOWN.bmp   
234552	4000	2223	0	FUNNEL.bmp  
241557	4000	1142	1	DRESS.bmp   
249547	4000	2823	1	CHEESE.bmp  
257552	3000	1427	1	BOX.bmp     
265557	3000	2600	0	CROWN.bmp   
273547	4000	1727	1	FAUCET.bmp  
281552	3000	3252	1	DOGHOUSE.bmp
288556	3000	1944	1	DONKEY.bmp  
295561	3000	rien	0	CATERPIL.bmp
303549	4000	2091	0	GORILLA.bmp 
310554	3000	rien	0	ANCHOR.bmp  
317559	4000	1388	0	DRAGONFL.bmp
325548	4000	1649	1	BOOT.bmp    
333553	4000	1652	1	BRAIN.bmp   
340558	3000	1344	1	BOTTLE.bmp  
347546	4000	1751	1	BEAR.bmp    
354551	4000	rien	0	ARTICHOK.bmp
362556	4000	1115	1	CAT.bmp     
369546	4000	1723	1	ELEPHANT.bmp
376549	4000	1535	1	GUITAR.bmp  
384555	3000	1954	1	BELT.bmp    
392561	3000	1494	1	APPLE.bmp   
399549	3000	1393	0	EYE.bmp     
406553	3000	1971	1	frenchcr.bmp
413557	3000	1956	1	BEE.bmp     
420545	3000	rien	0	ASPARAGU.bmp
428551	3000	2555	1	COMPASS.bmp 
436557	4000	2011	1	FEATHER.bmp 
444545	4000	2102	1	BENCH.bmp   
452551	3000	1890	1	CRAB.bmp    
459556	3000	2652	1	DOLPHIN.bmp 
467545	3000	2047	1	BIRDCAGE.bmp
475550	3000	1972	1	FRYINGPA.bmp
482555	3000	1345	1	CAR.bmp     
489560	4000	1611	1	FISH.bmp    
497549	4000	2136	1	FORK.bmp    
504553	4000	rien	0	ACCORDIO.bmp
511557	4000	1187	1	BICYCLE.bmp 
519546	4000	3567	1	ASHTRAY.bmp 
527552	3000	2662	1	COAT.bmp    
535557	3000	3116	1	DRESSER.bmp 
543546	4000	1651	1	AIRPLANE.bmp
551552	3000	rien	0	FAN.bmp     
