onset	duration	response_time	value	stimuli
6385	4000	1687	1	Scale.bmp   
13389	4000	1241	1	LOCK.bmp    
19377	3000	1182	1	PICTURE.bmp 
25381	4000	1923	0	LADYBUG.bmp 
32386	4000	1565	1	PELICAN.bmp 
38374	4000	1497	1	HARP.bmp    
45378	4000	1343	1	TELEPHON.bmp
52383	3000	1794	1	OSTRICH.bmp 
59388	3000	2408	1	POT.bmp     
65375	3000	1607	1	HAT.bmp     
72380	3000	1078	1	TIGER.bmp   
78384	4000	1150	1	MOTORCYC.bmp
84388	4000	980 	1	MOON.bmp    
90376	3000	1655	1	SPIDER.bmp  
97380	4000	2278	1	KNIFE.bmp   
104384	3000	1989	1	SYRINGE.bmp 
111373	4000	1338	1	LEG.bmp     
118377	3000	904 	1	MONKEY.bmp  
124381	4000	1852	1	PLIERS.bmp  
130386	3000	1377	1	WOLF.bmp    
136373	3000	1197	1	SHIRT.bmp   
143378	3000	1132	1	RAT.bmp     
150383	3000	1128	1	PEACOCK.bmp 
157388	3000	1113	1	PALMTREE.bmp
164376	3000	893 	1	SKIRT.bmp   
171381	3000	1903	1	WELL.bmp    
177385	4000	1844	1	NAILFILE.bmp
183373	4000	2255	1	LADDER.bmp  
189376	4000	1613	1	TRACTOR.bmp 
195380	3000	985 	1	NOSE.bmp    
202385	4000	1267	1	SNAIL.bmp   
208373	3000	1240	1	SQUIRREL.bmp
215378	3000	966 	1	PIPE.bmp    
221382	3000	1426	1	HAMMER.bmp  
227386	3000	983 	1	LION.bmp    
234374	4000	1140	1	WHIP.bmp    
241379	3000	1711	1	SNAKE.bmp   
247382	3000	1218	1	VASE.bmp    
253386	4000	903 	1	ROCKET.bmp  
260374	3000	1213	1	RING.bmp    
267379	4000	1586	1	LIGHTBUL.bmp
273383	3000	880 	1	SKULL.bmp   
280371	3000	953 	1	RULER.bmp   
286376	3000	1413	0	HYENA.bmp   
293380	4000	2171	1	PIANO.bmp   
300385	3000	1158	1	SOCK.bmp    
306373	3000	1087	1	ROOSTER.bmp 
312377	4000	1685	1	MOUNTAIN.bmp
318381	4000	1175	1	CIGARETT.bmp
324385	4000	2027	1	SHOE.bmp    
331373	4000	2123	1	LAMP.bmp    
338378	3000	1061	1	SAW.bmp     
344382	3000	991 	1	RABBIT.bmp  
351371	4000	1537	1	ZEBRA.bmp   
357375	3000	1630	1	SCREW.bmp   
364379	4000	1774	1	WATERING.bmp
371384	3000	1410	1	PAINTBRU.bmp
377371	3000	1202	1	WINDOW.bmp  
383375	3000	2053	0	HARMONIC.bmp
389379	4000	1609	1	PANTS.bmp   
396384	4000	1642	1	NECKLACE.bmp
403372	4000	1509	1	GLASS.bmp   
410377	4000	2244	0	SWAN.bmp    
417382	3000	1568	1	ski.bmp     
424370	3000	1380	0	TRUMPET.bmp 
430374	4000	rien	0	WEATHERV.bmp
437379	3000	1730	1	MICROSCO.bmp
443383	4000	1978	1	UMBRELLA.bmp
450371	4000	640 	1	WHEEL.bmp   
457376	4000	1571	1	PEAR.bmp    
464381	3000	2342	1	NAIL.bmp    
470369	4000	1565	1	TIE.bmp     
476372	4000	1596	1	STOOL.bmp   
482377	4000	1256	1	PLUG.bmp    
