onset	duration	response_time	value	stimuli
4159	2000	976	1	BOTTLE.bmp  
10161	3000	833	1	FUNNEL.bmp  
17166	3000	977	1	ASHTRAY.bmp 
24170	2000	1578	1	CHEESE.bmp  
30157	2000	833	1	EYE.bmp     
36162	2000	1652	1	DRAGONFL.bmp
42166	3000	651	1	BICYCLE.bmp 
49171	2000	778	0	ENVELOPE.bmp
55158	3000	1345	1	CATERPIL.bmp
62163	3000	834	1	APPLE.bmp   
69168	2000	1240	1	FAUCET.bmp  
75156	3000	1144	1	HAMMOCK.bmp 
82160	3000	989	1	CAP.bmp     
89165	3000	1891	1	BRAIN.bmp   
96170	2000	822	1	GUITAR.bmp  
102157	2000	1040	0	BOWL.bmp    
108161	3000	862	1	BEAR.bmp    
115166	2000	3400	1	CANNON.bmp  
121170	3000	1796	1	CORN.bmp    
128158	3000	1950	1	COMPASS.bmp 
135162	2000	830	1	CARROT.bmp  
141166	2000	959	1	CLOWN.bmp   
147154	2000	894	1	FISH.bmp    
153158	3000	1103	1	BOX.bmp     
160163	3000	1307	1	CLOUD.bmp   
167168	3000	1377	1	DOORKNOB.bmp
174156	3000	961	1	GARBAGEC.bmp
181161	2000	896	1	CHIMNEY.bmp 
187165	2000	704	1	BELT.bmp    
193154	2000	900	0	ANCHOR.bmp  
199156	3000	1581	1	AXE.bmp     
206161	2000	1281	0	COAT.bmp    
212165	2000	1218	1	EAR.bmp     
218153	2000	1253	1	BIRDCAGE.bmp
224157	3000	924	1	AIRPLANE.bmp
231162	2000	1043	1	SCORPION.bmp
237166	2000	771	1	FORK.bmp    
243154	3000	1713	1	ACORN.bmp   
250158	3000	1073	1	ARTICHOK.bmp
257162	3000	954	1	CUP.bmp     
264152	3000	896	1	ELEPHANT.bmp
271155	3000	1405	1	GLOVE.bmp   
278160	3000	973	1	FAN.bmp     
285165	2000	934	1	BUTTERFL.bmp
291152	2000	1346	1	DOGHOUSE.bmp
297157	2000	856	1	CAT.bmp     
303161	3000	1047	1	DONKEY.bmp  
310166	2000	960	1	FLOWER.bmp  
316153	2000	1458	0	BEE.bmp     
322157	2000	1061	0	EAGLE.bmp   
328161	3000	1052	1	BOW.bmp     
335151	3000	1023	1	DOLPHIN.bmp 
342154	2000	834	1	CHICKEN.bmp 
348158	3000	1174	1	ACCORDIO.bmp
355163	3000	1021	1	FRYINGPA.bmp
362151	3000	1272	1	DUSTPAN.bmp 
369156	2000	785	1	CAR.bmp     
375159	2000	1312	1	DRESSER.bmp 
381164	3000	931	1	FLAG.bmp    
388152	3000	1106	1	FEATHER.bmp 
395156	3000	1052	1	DEER.bmp    
402161	3000	1280	1	BOOT.bmp    
409149	3000	1034	1	COW.bmp     
416154	3000	1368	1	BIRDNEST.bmp
423159	2000	1183	1	CRAB.bmp    
429163	2000	999	1	ASPARAGU.bmp
435151	2000	1121	1	CROWN.bmp   
441155	3000	940	1	frenchcr.bmp
448160	2000	881	1	DRESS.bmp   
454148	2000	1085	1	BROOM.bmp   
460151	3000	996	1	BENCH.bmp   
467156	3000	1521	1	RAY.bmp     
474160	2000	917	1	ALLIGATO.bmp
480148	2000	1132	1	GORILLA.bmp 
