onset	duration	response_time	value	stimuli
9240	4000	1227	1	ROCKET.bmp  
17245	3000	1800	1	MICROSCO.bmp
24234	4000	1252	1	SNAIL.bmp   
32239	3000	1222	1	LEG.bmp     
39244	4000	1095	1	NOSE.bmp    
47233	4000	1212	1	MOON.bmp    
55237	4000	1489	1	NAILFILE.bmp
63243	3000	1875	1	PALMTREE.bmp
70231	3000	1704	1	RING.bmp    
77236	3000	1125	1	RABBIT.bmp  
84241	3000	1110	1	STOOL.bmp   
91229	3000	964 	1	ROOSTER.bmp 
98234	4000	2566	1	WHIP.bmp    
106239	3000	1592	1	MOUNTAIN.bmp
113228	3000	1332	1	KNIFE.bmp   
120232	3000	1334	1	WATERING.bmp
127237	4000	1631	1	POT.bmp     
135228	3000	1399	1	HAMMER.bmp  
142231	4000	1292	1	MONKEY.bmp  
150237	4000	1285	1	TIE.bmp     
158242	3000	1097	1	PANTS.bmp   
165229	4000	1342	1	HARP.bmp    
173235	4000	rien	0	HARMONIC.bmp
181240	4000	1402	1	TRUMPET.bmp 
189229	3000	1057	1	HAT.bmp     
196234	3000	1195	1	VASE.bmp    
203239	4000	1416	1	WOLF.bmp    
211228	4000	1472	0	RAT.bmp     
219233	4000	1419	1	SCREW.bmp   
227239	3000	1192	0	LIGHTBUL.bmp
234227	4000	985 	1	WHEEL.bmp   
242233	4000	1920	1	TRACTOR.bmp 
250238	4000	1276	1	NECKLACE.bmp
258227	4000	1641	1	LION.bmp    
266233	4000	1027	1	RULER.bmp   
274237	3000	1296	1	SHIRT.bmp   
281225	3000	1315	1	PICTURE.bmp 
288230	3000	1090	1	PIPE.bmp    
295235	3000	1452	1	SKIRT.bmp   
302223	3000	3209	0	WEATHERV.bmp
309228	3000	1096	1	UMBRELLA.bmp
316233	4000	1011	1	LADYBUG.bmp 
324223	3000	1128	1	SNAKE.bmp   
331227	3000	945 	1	SHOE.bmp    
338231	3000	1333	1	SAW.bmp     
345236	4000	2271	0	HYENA.bmp   
353225	4000	1304	1	TELEPHON.bmp
361231	3000	1191	1	PAINTBRU.bmp
368235	3000	1221	1	LOCK.bmp    
375224	4000	1184	1	LADDER.bmp  
383228	4000	1579	1	TIGER.bmp   
391234	3000	rien	0	PELICAN.bmp 
398222	3000	1084	1	SOCK.bmp    
405227	4000	1063	1	MOTORCYC.bmp
413232	4000	1592	1	SPIDER.bmp  
421221	3000	1283	1	WELL.bmp    
428226	3000	1823	1	ZEBRA.bmp   
435231	4000	1529	1	WINDOW.bmp  
443220	4000	1411	1	PIANO.bmp   
451225	3000	2023	1	ski.bmp     
458230	4000	1038	1	GLASS.bmp   
466220	4000	2301	1	Scale.bmp   
474224	4000	2070	0	PLIERS.bmp  
482230	3000	rien	0	NAIL.bmp    
489218	3000	1764	1	SQUIRREL.bmp
496222	3000	1012	1	SKULL.bmp   
503227	3000	1361	1	OSTRICH.bmp 
510232	4000	1021	1	PEAR.bmp    
518220	4000	1361	1	SWAN.bmp    
526226	3000	1154	1	LAMP.bmp    
533231	3000	1923	1	PEACOCK.bmp 
540219	4000	1722	1	PLUG.bmp    
548224	3000	1115	1	SYRINGE.bmp 
555229	4000	1515	1	CIGARETT.bmp
