onset	duration	response_time	value	stimuli
741	2000	1214	1	ROOSTER.bmp 
6745	2000	1721	0	SCREW.bmp   
13733	3000	1568	0	LEG.bmp     
19737	2000	874 	1	SNAKE.bmp   
25742	2000	1066	1	WATERING.bmp
31746	2000	1002	1	PIPE.bmp    
37733	3000	895 	1	TELEPHON.bmp
43737	2000	1031	1	MONKEY.bmp  
50742	3000	1944	1	PLUG.bmp    
56745	3000	1101	1	WELL.bmp    
62733	2000	916 	1	POT.bmp     
68737	3000	1018	1	OSTRICH.bmp 
74741	2000	873 	1	CIGARETT.bmp
81730	2000	854 	1	PIANO.bmp   
87733	2000	1245	1	TIGER.bmp   
94738	2000	1037	1	ROCKET.bmp  
101743	2000	1029	1	PANTS.bmp   
108731	3000	959 	1	WOLF.bmp    
114735	2000	835 	1	HAT.bmp     
121740	2000	833 	1	SNAIL.bmp   
127744	2000	900 	1	SYRINGE.bmp 
134732	2000	925 	1	ski.bmp     
140737	3000	1002	1	MOON.bmp    
146741	2000	1145	1	KNIFE.bmp   
152729	3000	862 	1	NOSE.bmp    
158732	3000	2674	1	WHIP.bmp    
164737	3000	1250	1	SWAN.bmp    
171741	2000	993 	1	PEACOCK.bmp 
178728	3000	847 	1	MOUNTAIN.bmp
185733	2000	1214	1	PELICAN.bmp 
192738	3000	2959	1	PALMTREE.bmp
198742	2000	869 	1	WHEEL.bmp   
205730	2000	843 	1	RABBIT.bmp  
212735	2000	1542	1	HARMONIC.bmp
219740	2000	917 	1	STOOL.bmp   
226728	2000	1433	1	SPIDER.bmp  
232732	3000	725 	1	SQUIRREL.bmp
238737	3000	888 	1	TRUMPET.bmp 
244741	3000	1097	1	ZEBRA.bmp   
251729	3000	779 	1	MOTORCYC.bmp
258734	2000	924 	1	Scale.bmp   
264738	3000	786 	1	HAMMER.bmp  
271726	3000	1128	1	LOCK.bmp    
277729	3000	1359	1	SKULL.bmp   
283734	3000	1842	1	PLIERS.bmp  
290738	2000	1731	1	NAIL.bmp    
296726	2000	780 	1	TIE.bmp     
303731	2000	1367	0	PICTURE.bmp 
310735	3000	965 	1	SAW.bmp     
317725	3000	1513	1	HYENA.bmp   
324728	2000	1667	1	PAINTBRU.bmp
330732	3000	971 	0	RAT.bmp     
337737	2000	684 	1	SHOE.bmp    
343725	2000	1681	1	WINDOW.bmp  
350730	3000	1019	1	NAILFILE.bmp
356734	2000	1354	1	RING.bmp    
363739	3000	1304	1	RULER.bmp   
370727	3000	1339	1	LAMP.bmp    
377732	3000	1076	1	TRACTOR.bmp 
384736	3000	1028	1	SHIRT.bmp   
391725	2000	1722	1	LIGHTBUL.bmp
398728	3000	761 	1	LADDER.bmp  
404733	2000	1895	1	HARP.bmp    
410737	3000	1033	1	PEAR.bmp    
0	2000	1059	1	SKIRT.bmp   
0	3000	1172	1	LION.bmp    
0	3000	770 	1	GLASS.bmp   
0	3000	870 	1	SOCK.bmp    
0	3000	985 	1	NECKLACE.bmp
0	3000	849 	1	UMBRELLA.bmp
0	3000	rien	0	WEATHERV.bmp
0	2000	967 	1	VASE.bmp    
0	2000	1707	1	LADYBUG.bmp 
0	2000	rien	0	MICROSCO.bmp
