onset	duration	response_time	value	stimuli
3347	3000	985	1	LEG.bmp     
10351	2000	1178	1	MOTORCYC.bmp
16355	2000	936	1	SHOE.bmp    
22344	2000	933	0	SCREW.bmp   
28347	2000	780	1	PLIERS.bmp  
34351	3000	945	1	RING.bmp    
41356	3000	701	1	PAINTBRU.bmp
48344	3000	696	1	TRUMPET.bmp 
55349	2000	824	1	RAT.bmp     
61353	3000	842	1	LADDER.bmp  
68358	3000	3426	1	HYENA.bmp   
75346	3000	1086	1	WOLF.bmp    
82351	3000	737	1	SNAKE.bmp   
89356	2000	695	1	NOSE.bmp    
95344	2000	757	1	HAT.bmp     
101348	3000	835	1	GLASS.bmp   
108352	3000	942	1	Scale.bmp   
115357	2000	1361	1	SNAIL.bmp   
121344	3000	956	1	LADYBUG.bmp 
128348	2000	1063	1	OSTRICH.bmp 
134353	3000	922	1	SQUIRREL.bmp
141357	2000	889	1	MICROSCO.bmp
147345	2000	956	1	CIGARETT.bmp
153349	3000	1031	1	POT.bmp     
160354	3000	1001	1	HAMMER.bmp  
167343	3000	1011	1	SKULL.bmp   
174347	3000	931	1	RABBIT.bmp  
181352	2000	976	1	PLUG.bmp    
187356	3000	1451	1	SHIRT.bmp   
194344	3000	938	1	ZEBRA.bmp   
201349	2000	943	1	LIGHTBUL.bmp
207353	3000	932	1	SKIRT.bmp   
214358	3000	905	1	ROCKET.bmp  
221345	2000	803	1	PANTS.bmp   
227349	3000	852	1	LOCK.bmp    
234354	3000	749	1	PIANO.bmp   
241342	3000	2507	0	SWAN.bmp    
248347	2000	755	1	TRACTOR.bmp 
254351	2000	1104	1	HARMONIC.bmp
260355	2000	1169	1	MOUNTAIN.bmp
266343	3000	779	1	SOCK.bmp    
273348	3000	935	1	ROOSTER.bmp 
280352	2000	1320	1	PEACOCK.bmp 
286357	2000	807	1	WATERING.bmp
292344	3000	1054	1	PIPE.bmp    
299349	2000	1325	1	LION.bmp    
305353	2000	680	1	TELEPHON.bmp
311357	2000	685	1	NAIL.bmp    
317345	3000	768	1	WINDOW.bmp  
324349	3000	873	1	NECKLACE.bmp
331354	2000	828	1	PELICAN.bmp 
337341	3000	1374	1	MOON.bmp    
344346	3000	2195	1	SPIDER.bmp  
351350	2000	1863	0	WHIP.bmp    
357355	2000	814	1	SYRINGE.bmp 
363342	3000	795	1	LAMP.bmp    
370347	2000	1116	1	WELL.bmp    
376351	2000	954	1	WHEEL.bmp   
382355	2000	983	1	WEATHERV.bmp
388343	2000	959	1	HARP.bmp    
394347	2000	779	1	RULER.bmp   
400351	2000	863	1	STOOL.bmp   
406355	2000	873	1	PALMTREE.bmp
412343	3000	781	1	SAW.bmp     
419347	2000	1911	1	ski.bmp     
425352	2000	742	1	MONKEY.bmp  
431356	2000	773	1	UMBRELLA.bmp
437342	3000	2028	0	NAILFILE.bmp
444347	2000	660	1	VASE.bmp    
450351	3000	899	1	TIGER.bmp   
457340	2000	2176	1	KNIFE.bmp   
463343	3000	1020	1	PICTURE.bmp 
470348	3000	819	1	PEAR.bmp    
477353	2000	805	1	TIE.bmp     
