onset	duration	response_time	value	stimuli
4682	2000	1465	1	CUP.bmp     
10685	2000	855 	1	GARBAGEC.bmp
16673	2000	808 	0	GORILLA.bmp 
22677	3000	847 	1	CARROT.bmp  
29682	3000	1070	1	BOWL.bmp    
36687	2000	937 	1	CRAB.bmp    
42674	3000	933 	0	DEER.bmp    
49679	2000	937 	1	EAR.bmp     
55683	2000	1082	1	SCORPION.bmp
61672	3000	974 	1	frenchcr.bmp
68675	2000	867 	1	AXE.bmp     
74679	2000	1313	1	DOGHOUSE.bmp
80684	2000	1007	0	CHEESE.bmp  
86670	3000	922 	1	DOLPHIN.bmp 
93675	2000	1690	0	BEE.bmp     
99679	3000	1088	1	CATERPIL.bmp
106684	2000	1749	0	DRESSER.bmp 
112671	3000	786 	1	CROWN.bmp   
119676	2000	812 	1	CAT.bmp     
125680	2000	809 	1	FLOWER.bmp  
131685	2000	1052	1	ENVELOPE.bmp
137672	2000	1091	1	DOORKNOB.bmp
143676	3000	1052	1	DRESS.bmp   
150681	2000	1070	1	EYE.bmp     
156669	2000	1113	1	ALLIGATO.bmp
162673	2000	949 	1	CLOWN.bmp   
168677	3000	839 	1	CAR.bmp     
175682	2000	892 	1	FLAG.bmp    
181669	2000	836 	1	BRAIN.bmp   
187673	3000	849 	1	CHIMNEY.bmp 
194678	3000	1636	1	ARTICHOK.bmp
201683	2000	1608	0	DRAGONFL.bmp
207669	3000	850 	1	FORK.bmp    
214674	2000	878 	1	FEATHER.bmp 
220678	2000	990 	1	BROOM.bmp   
226682	3000	1081	0	COAT.bmp    
233671	2000	1249	1	BUTTERFL.bmp
239675	3000	1152	1	BICYCLE.bmp 
246680	2000	875 	1	FISH.bmp    
252667	3000	913 	1	CANNON.bmp  
259672	2000	1024	1	BIRDCAGE.bmp
265676	3000	964 	1	BOTTLE.bmp  
272681	3000	1383	1	EAGLE.bmp   
279669	3000	1750	1	HAMMOCK.bmp 
286674	3000	rien	0	DUSTPAN.bmp 
293679	3000	1400	1	FUNNEL.bmp  
300667	2000	1195	1	BIRDNEST.bmp
306671	2000	1383	1	COMPASS.bmp 
312675	3000	930 	1	ASHTRAY.bmp 
319680	3000	952 	1	ACCORDIO.bmp
326667	3000	878 	1	ELEPHANT.bmp
333672	3000	1215	1	BOW.bmp     
340677	2000	1351	1	BEAR.bmp    
346665	3000	993 	0	CORN.bmp    
353669	3000	1302	1	FAN.bmp     
360674	3000	1671	1	ACORN.bmp   
367679	3000	898 	1	AIRPLANE.bmp
374667	3000	1142	1	CLOUD.bmp   
381672	2000	1017	1	APPLE.bmp   
387676	2000	1226	1	DONKEY.bmp  
393664	2000	1124	1	BENCH.bmp   
399667	2000	1235	1	BOX.bmp     
405671	3000	1155	1	CHICKEN.bmp 
412676	3000	909 	1	GUITAR.bmp  
419664	3000	1007	1	COW.bmp     
426669	3000	1133	1	BOOT.bmp    
433673	3000	1941	1	ASPARAGU.bmp
440663	2000	896 	1	BELT.bmp    
446665	2000	1743	1	RAY.bmp     
452670	3000	1340	1	FRYINGPA.bmp
459674	2000	1227	1	FAUCET.bmp  
465662	3000	893 	1	CAP.bmp     
472667	3000	1083	1	GLOVE.bmp   
479672	3000	931 	1	ANCHOR.bmp  
