onset	duration	response_time	value	stimuli
5563	3000	1757	1	BELT.bmp    
12567	3000	1211	1	FRYINGPA.bmp
19572	4000	1002	1	CORN.bmp    
27578	3000	1303	0	ENVELOPE.bmp
35567	3000	1180	1	GLOVE.bmp   
42572	4000	1935	0	BRAIN.bmp   
49576	4000	1314	1	CATERPIL.bmp
57565	4000	1595	1	ALLIGATO.bmp
64569	3000	1424	1	DOORKNOB.bmp
72575	4000	1249	1	ELEPHANT.bmp
80564	3000	1160	1	frenchcr.bmp
87568	3000	1637	1	AXE.bmp     
94573	3000	2228	1	BEAR.bmp    
102562	3000	1266	1	FLOWER.bmp  
110568	4000	1658	1	BICYCLE.bmp 
118573	3000	1752	0	FUNNEL.bmp  
125561	4000	1896	1	BROOM.bmp   
133567	4000	1642	1	CLOWN.bmp   
140572	3000	1064	1	BOOT.bmp    
147561	4000	1975	1	GARBAGEC.bmp
155565	3000	2123	1	CROWN.bmp   
163571	4000	992	1	APPLE.bmp   
171560	4000	1176	1	CRAB.bmp    
179564	3000	1550	1	DEER.bmp    
187570	3000	1491	1	HAMMOCK.bmp 
194575	4000	1077	1	BOX.bmp     
201563	3000	1381	1	DOGHOUSE.bmp
209568	4000	1117	1	CAR.bmp     
217574	4000	829	1	DRESS.bmp   
225563	3000	1943	0	CAP.bmp     
232568	4000	1774	1	EAGLE.bmp   
239572	3000	1597	1	EAR.bmp     
247561	4000	1073	1	DONKEY.bmp  
255567	3000	2348	0	COMPASS.bmp 
263572	3000	1445	1	COAT.bmp    
270561	3000	1048	1	FISH.bmp    
277565	4000	2089	1	DUSTPAN.bmp 
285571	3000	1670	0	FORK.bmp    
292558	4000	2085	1	FLAG.bmp    
299563	4000	1020	1	BENCH.bmp   
306568	4000	1713	1	BUTTERFL.bmp
314557	3000	1694	1	SCORPION.bmp
321561	3000	1660	1	FAN.bmp     
329568	3000	1014	1	CANNON.bmp  
337573	3000	1234	1	BEE.bmp     
345561	4000	1824	0	ACCORDIO.bmp
352566	3000	1639	0	DOLPHIN.bmp 
360572	3000	1315	1	CLOUD.bmp   
368561	4000	1341	1	RAY.bmp     
376566	4000	1288	1	FEATHER.bmp 
384572	4000	2290	0	DRESSER.bmp 
392561	3000	1273	1	ANCHOR.bmp  
399565	4000	1019	1	ACORN.bmp   
406570	3000	1281	1	FAUCET.bmp  
413557	3000	1476	1	GUITAR.bmp  
420562	4000	1843	0	CHIMNEY.bmp 
427567	4000	1146	1	CHEESE.bmp  
434556	3000	1970	1	ARTICHOK.bmp
441560	4000	2084	0	ASHTRAY.bmp 
449566	4000	1315	1	EYE.bmp     
457555	4000	1177	1	AIRPLANE.bmp
464559	4000	2337	0	DRAGONFL.bmp
471564	4000	1678	0	CARROT.bmp  
478569	3000	1213	1	BIRDCAGE.bmp
485557	3000	1921	1	GORILLA.bmp 
492562	3000	1259	1	COW.bmp     
500567	3000	2199	1	BOW.bmp     
508556	4000	1293	1	BOWL.bmp    
516562	4000	1455	1	CHICKEN.bmp 
524566	4000	1316	1	CUP.bmp     
532555	4000	1230	1	BIRDNEST.bmp
539560	4000	3618	0	ASPARAGU.bmp
546565	3000	1297	1	BOTTLE.bmp  
554554	4000	926	1	CAT.bmp     
