onset	duration	response_time	value	stimuli
4357	3000	1152	1	HARP.bmp    
12346	4000	875	1	WOLF.bmp    
20350	4000	2339	1	SQUIRREL.bmp
28356	4000	1325	1	ski.bmp     
36345	4000	1328	1	PLIERS.bmp  
44350	3000	984	1	RABBIT.bmp  
52356	3000	1311	1	UMBRELLA.bmp
60345	4000	1418	1	LEG.bmp     
67349	4000	1868	0	SWAN.bmp    
74354	4000	1484	1	NECKLACE.bmp
82343	3000	1323	1	ROCKET.bmp  
89348	3000	1209	1	PALMTREE.bmp
97354	3000	1396	1	NOSE.bmp    
105342	3000	2381	1	WHIP.bmp    
113348	4000	1071	1	MOON.bmp    
120352	4000	1799	1	PANTS.bmp   
128341	3000	1584	1	NAIL.bmp    
135345	3000	3299	1	SAW.bmp     
143351	4000	3707	0	OSTRICH.bmp 
151340	4000	1301	1	MONKEY.bmp  
159345	3000	1251	1	TRUMPET.bmp 
166350	4000	1727	1	TELEPHON.bmp
173339	3000	1433	0	STOOL.bmp   
180343	3000	1687	1	SCREW.bmp   
188349	4000	2432	1	PEAR.bmp    
195354	3000	1517	1	WELL.bmp    
203342	4000	1437	1	HAT.bmp     
210347	4000	1163	1	WHEEL.bmp   
218353	3000	1570	1	TIE.bmp     
225340	4000	1017	1	LAMP.bmp    
232345	4000	1424	1	SNAKE.bmp   
240350	4000	1044	1	SKULL.bmp   
247338	3000	1911	0	MICROSCO.bmp
255344	4000	1030	0	SHOE.bmp    
263350	3000	1795	1	RAT.bmp     
270338	3000	1561	1	PICTURE.bmp 
277343	4000	1279	1	Scale.bmp   
285348	3000	1698	1	GLASS.bmp   
293337	3000	1715	0	WATERING.bmp
300342	4000	1426	1	RULER.bmp   
307347	4000	1947	1	TRACTOR.bmp 
315352	4000	1218	1	PIPE.bmp    
323341	4000	3351	0	MOUNTAIN.bmp
330346	3000	2245	0	SYRINGE.bmp 
337350	3000	1903	1	WINDOW.bmp  
344338	4000	1602	1	SPIDER.bmp  
352343	3000	2595	1	PEACOCK.bmp 
359348	3000	1302	1	TIGER.bmp   
367337	3000	2518	1	LADDER.bmp  
374342	3000	1783	1	PAINTBRU.bmp
381347	3000	1431	1	SKIRT.bmp   
388335	4000	1663	1	LION.bmp    
396340	4000	1277	1	SNAIL.bmp   
404346	4000	1255	1	ROOSTER.bmp 
411335	3000	1342	1	HAMMER.bmp  
418339	4000	1988	1	CIGARETT.bmp
426344	4000	1315	1	LOCK.bmp    
434350	3000	1940	1	NAILFILE.bmp
442338	4000	1487	1	SOCK.bmp    
449343	4000	1901	1	MOTORCYC.bmp
456348	4000	1520	1	SHIRT.bmp   
464336	3000	1447	1	LIGHTBUL.bmp
471341	3000	1647	0	LADYBUG.bmp 
478346	3000	1149	1	PIANO.bmp   
486335	3000	4000	0	WEATHERV.bmp
494340	4000	1846	1	RING.bmp    
501345	3000	1551	1	ZEBRA.bmp   
508333	3000	3430	1	PLUG.bmp    
515338	4000	1572	1	VASE.bmp    
522343	4000	1336	1	KNIFE.bmp   
530333	3000	2048	1	HYENA.bmp   
537337	3000	1687	0	HARMONIC.bmp
544342	3000	2380	0	PELICAN.bmp 
551345	3000	1776	0	POT.bmp     
