onset	duration	response_time	value	stimuli
7244	3000	1243	1	LOCK.bmp    
14248	3000	1195	1	RING.bmp    
21253	2000	757 	1	RABBIT.bmp  
27241	2000	852 	1	HAMMER.bmp  
33245	2000	rien	0	LAMP.bmp    
39249	3000	998 	1	TELEPHON.bmp
46254	3000	1079	1	VASE.bmp    
53242	2000	2610	1	HARMONIC.bmp
59246	2000	1842	1	SNAIL.bmp   
65250	3000	1548	1	OSTRICH.bmp 
72255	3000	2133	1	LADDER.bmp  
79243	3000	1005	1	LION.bmp    
86248	2000	1642	1	RAT.bmp     
92252	3000	1263	1	PALMTREE.bmp
99241	2000	1163	1	SCREW.bmp   
105245	3000	1208	1	POT.bmp     
112249	2000	1801	1	LIGHTBUL.bmp
118254	2000	1919	1	TRUMPET.bmp 
124241	2000	1279	1	PAINTBRU.bmp
130245	2000	971 	1	SNAKE.bmp   
136249	3000	1818	1	TIGER.bmp   
143254	3000	1139	1	PIANO.bmp   
150241	2000	1279	1	WHIP.bmp    
156246	2000	1229	1	SAW.bmp     
162250	3000	rien	0	WEATHERV.bmp
169255	3000	1082	1	UMBRELLA.bmp
176243	2000	1749	1	SKULL.bmp   
182247	3000	869 	1	SOCK.bmp    
189252	2000	1190	1	Scale.bmp   
195240	3000	1341	1	WATERING.bmp
202244	2000	1388	1	HYENA.bmp   
208248	3000	2385	1	RULER.bmp   
215253	2000	1151	1	PICTURE.bmp 
221241	2000	1051	1	NOSE.bmp    
227245	2000	1733	1	NAILFILE.bmp
233249	2000	1129	1	MONKEY.bmp  
239253	3000	1635	1	PLUG.bmp    
246241	3000	2725	1	PEACOCK.bmp 
253246	2000	996 	1	SQUIRREL.bmp
259250	3000	1188	1	ROOSTER.bmp 
266239	3000	1756	1	PANTS.bmp   
273243	3000	2722	0	SYRINGE.bmp 
280247	2000	1065	1	SKIRT.bmp   
286252	3000	1140	1	WOLF.bmp    
293239	3000	1724	0	HARP.bmp    
300244	2000	1534	1	NAIL.bmp    
306248	2000	1230	1	WINDOW.bmp  
312252	2000	1192	1	PELICAN.bmp 
318240	3000	1334	1	PIPE.bmp    
325245	2000	1255	1	MOUNTAIN.bmp
331249	2000	1284	1	WELL.bmp    
337253	3000	1122	1	ski.bmp     
344241	2000	1281	1	LEG.bmp     
350245	3000	868 	1	WHEEL.bmp   
357250	3000	937 	1	NECKLACE.bmp
364238	3000	1008	1	PEAR.bmp    
371243	2000	1217	1	ZEBRA.bmp   
377247	2000	1224	1	KNIFE.bmp   
383252	3000	2104	0	LADYBUG.bmp 
390240	3000	1167	1	ROCKET.bmp  
397245	2000	1184	0	TIE.bmp     
403249	3000	1638	0	SPIDER.bmp  
410238	3000	1088	1	CIGARETT.bmp
417242	2000	1238	1	SHOE.bmp    
423245	2000	929 	1	STOOL.bmp   
429249	3000	1582	1	TRACTOR.bmp 
436237	3000	1016	1	SHIRT.bmp   
443242	2000	3661	1	MICROSCO.bmp
449246	2000	1385	1	PLIERS.bmp  
455250	2000	1039	1	MOTORCYC.bmp
461238	3000	884 	1	MOON.bmp    
468243	2000	854 	1	HAT.bmp     
474247	3000	rien	0	SWAN.bmp    
481252	2000	1013	1	GLASS.bmp   
