onset	duration	response_time	value	stimuli
3499	4000	935	1	CUP.bmp     
11504	3000	969	1	CATERPIL.bmp
18509	4000	904	1	BEAR.bmp    
26498	4000	842	1	DONKEY.bmp  
34503	3000	1224	1	GORILLA.bmp 
41508	4000	1070	1	FRYINGPA.bmp
49497	4000	1130	0	BOWL.bmp    
57503	4000	969	1	DOLPHIN.bmp 
65508	4000	846	1	FEATHER.bmp 
73497	4000	809	1	FORK.bmp    
81503	3000	941	1	FUNNEL.bmp  
88507	4000	877	1	CAR.bmp     
96496	3000	1036	1	BIRDCAGE.bmp
103501	3000	1214	1	CANNON.bmp  
110506	3000	1211	1	GLOVE.bmp   
117495	4000	892	1	DRESS.bmp   
125499	3000	1344	1	CROWN.bmp   
132504	4000	1254	1	ELEPHANT.bmp
140509	3000	797	1	frenchcr.bmp
147497	3000	1312	1	ACORN.bmp   
154502	4000	983	1	FLOWER.bmp  
162508	4000	1241	1	FAN.bmp     
170496	4000	1178	1	ASHTRAY.bmp 
178502	3000	1422	0	BEE.bmp     
185507	3000	1344	1	BOX.bmp     
192495	3000	1071	1	BRAIN.bmp   
199500	4000	1403	1	ENVELOPE.bmp
207505	3000	999	1	CHIMNEY.bmp 
214494	4000	911	1	BROOM.bmp   
222498	3000	722	1	CAT.bmp     
229503	3000	874	1	FLAG.bmp    
236492	4000	964	1	BOW.bmp     
244497	4000	1277	1	HAMMOCK.bmp 
252502	3000	845	1	GUITAR.bmp  
259492	4000	1355	1	DRAGONFL.bmp
267496	3000	1278	1	AXE.bmp     
274501	3000	1197	1	CAP.bmp     
281505	4000	1123	1	CRAB.bmp    
289494	4000	1051	1	ASPARAGU.bmp
297500	3000	1559	1	COMPASS.bmp 
304505	4000	1064	1	ARTICHOK.bmp
312493	4000	953	1	CORN.bmp    
320499	4000	830	1	AIRPLANE.bmp
328504	3000	1214	1	BOTTLE.bmp  
335493	4000	979	1	FISH.bmp    
343497	3000	957	1	DOORKNOB.bmp
350502	3000	1322	0	COAT.bmp    
357490	4000	836	1	APPLE.bmp   
365496	3000	935	1	ALLIGATO.bmp
372501	3000	1210	1	SCORPION.bmp
379489	4000	1037	1	RAY.bmp     
387494	3000	938	1	CLOUD.bmp   
394499	3000	942	1	COW.bmp     
401489	3000	997	1	EAR.bmp     
408492	3000	994	1	BUTTERFL.bmp
415497	3000	1392	1	ACCORDIO.bmp
422502	3000	1969	0	DEER.bmp    
429490	3000	965	1	CHICKEN.bmp 
436495	4000	1065	1	BICYCLE.bmp 
444499	4000	874	1	GARBAGEC.bmp
452488	4000	915	1	EYE.bmp     
460494	4000	1443	1	DRESSER.bmp 
468499	4000	1253	1	DUSTPAN.bmp 
476488	4000	859	1	DOGHOUSE.bmp
484494	3000	1235	0	CHEESE.bmp  
491498	4000	970	1	CLOWN.bmp   
499487	3000	1603	0	EAGLE.bmp   
506492	4000	1310	1	ANCHOR.bmp  
514498	3000	1054	1	BENCH.bmp   
521486	4000	1092	1	BIRDNEST.bmp
529491	4000	943	1	FAUCET.bmp  
537497	4000	950	1	BOOT.bmp    
545485	3000	801	1	BELT.bmp    
552489	3000	1102	1	CARROT.bmp  
