onset	duration	response_time	value	stimuli
4639	4000	1946	0	HAMMOCK.bmp 
12644	4000	1365	1	BENCH.bmp   
20649	4000	1182	1	CRAB.bmp    
28637	3000	986 	1	BOWL.bmp    
35642	3000	1249	1	CUP.bmp     
42647	3000	1599	0	ARTICHOK.bmp
49635	3000	1445	0	BEE.bmp     
56640	4000	rien	0	DEER.bmp    
64645	3000	1793	0	ALLIGATO.bmp
71633	3000	rien	0	ACCORDIO.bmp
78638	4000	1317	1	ACORN.bmp   
86644	4000	1695	1	EAGLE.bmp   
94633	4000	1283	1	FORK.bmp    
102638	4000	1723	1	EYE.bmp     
110644	3000	1267	1	AXE.bmp     
117633	3000	1592	1	RAY.bmp     
124637	3000	1084	1	CARROT.bmp  
131642	4000	1731	1	CORN.bmp    
139646	3000	1877	1	FISH.bmp    
146634	4000	1584	0	FRYINGPA.bmp
154640	4000	2222	0	FUNNEL.bmp  
162645	4000	1537	1	ASHTRAY.bmp 
170634	3000	1567	1	DONKEY.bmp  
177639	3000	1461	1	ANCHOR.bmp  
184644	4000	1382	0	CAR.bmp     
192633	4000	1357	1	CROWN.bmp   
200638	3000	2729	1	DOLPHIN.bmp 
207643	4000	1223	1	FAUCET.bmp  
215632	4000	1545	1	DOGHOUSE.bmp
223637	3000	1783	1	BELT.bmp    
230642	4000	1819	0	BEAR.bmp    
238631	3000	1540	0	SCORPION.bmp
245636	3000	2395	0	DRAGONFL.bmp
252640	3000	2009	1	CAP.bmp     
259629	4000	1688	1	FLAG.bmp    
267633	3000	1471	1	CHICKEN.bmp 
274638	3000	1524	1	frenchcr.bmp
281643	3000	2555	1	COAT.bmp    
288631	4000	1333	1	BOOT.bmp    
296637	4000	1733	1	BUTTERFL.bmp
304642	3000	1502	1	GARBAGEC.bmp
311630	4000	1634	1	BIRDCAGE.bmp
319636	3000	1600	1	DOORKNOB.bmp
326641	3000	1591	1	BOX.bmp     
333629	4000	2049	0	GORILLA.bmp 
341634	3000	1529	1	BOTTLE.bmp  
348639	4000	1533	1	CLOWN.bmp   
356627	3000	1439	1	BICYCLE.bmp 
363632	3000	1798	1	BOW.bmp     
370637	4000	1915	1	ASPARAGU.bmp
378626	4000	1333	1	BIRDNEST.bmp
386631	4000	1815	1	DRESSER.bmp 
394637	3000	2610	1	FAN.bmp     
401625	4000	1341	1	CHIMNEY.bmp 
409630	3000	1299	1	FLOWER.bmp  
416635	3000	1733	1	BROOM.bmp   
423640	3000	2135	1	ELEPHANT.bmp
430628	4000	rien	0	DUSTPAN.bmp 
438633	3000	1718	1	GUITAR.bmp  
445638	4000	1714	1	EAR.bmp     
453627	3000	1389	1	APPLE.bmp   
460631	3000	1263	1	CAT.bmp     
467636	4000	1147	1	GLOVE.bmp   
475625	4000	1689	0	ENVELOPE.bmp
483630	4000	1124	1	CANNON.bmp  
491636	4000	1393	1	COW.bmp     
499624	3000	1836	1	CHEESE.bmp  
506629	4000	1539	1	CLOUD.bmp   
514635	3000	1294	1	DRESS.bmp   
521623	4000	1512	1	BRAIN.bmp   
529628	4000	1713	1	CATERPIL.bmp
537634	3000	1400	1	FEATHER.bmp 
544622	4000	1274	1	AIRPLANE.bmp
552628	4000	1490	1	COMPASS.bmp 
