onset	duration	response_time	value	stimuli
3802	3000	938 	1	PIANO.bmp   
10807	3000	1155	1	WATERING.bmp
17794	4000	1021	1	PELICAN.bmp 
25800	3000	775 	1	KNIFE.bmp   
32804	3000	987 	1	STOOL.bmp   
39793	4000	996 	1	LADDER.bmp  
47798	4000	878 	1	LEG.bmp     
55804	4000	1051	1	PEACOCK.bmp 
63792	3000	1151	1	TRACTOR.bmp 
70797	3000	942 	1	PIPE.bmp    
77802	4000	1723	1	TRUMPET.bmp 
85791	3000	1238	1	PANTS.bmp   
92796	4000	995 	0	ROOSTER.bmp 
100801	4000	963 	1	PICTURE.bmp 
108790	4000	1035	1	SOCK.bmp    
116795	3000	981 	1	RULER.bmp   
123800	3000	892 	1	NOSE.bmp    
130804	4000	1081	0	SKIRT.bmp   
138793	4000	871 	1	MONKEY.bmp  
146799	3000	1162	1	SHOE.bmp    
153804	3000	843 	1	RABBIT.bmp  
160792	3000	917 	1	WELL.bmp    
167797	4000	848 	1	HAT.bmp     
175802	3000	927 	1	WINDOW.bmp  
182790	4000	1799	0	PALMTREE.bmp
190796	4000	968 	1	ROCKET.bmp  
198800	3000	908 	1	SPIDER.bmp  
205789	4000	940 	1	WOLF.bmp    
213794	4000	1292	1	NAILFILE.bmp
221800	3000	915 	1	UMBRELLA.bmp
228788	4000	1225	1	MOON.bmp    
236793	3000	910 	1	HAMMER.bmp  
243798	3000	1063	1	HARP.bmp    
250787	3000	1368	1	OSTRICH.bmp 
257791	3000	1266	1	CIGARETT.bmp
264796	4000	871 	1	RAT.bmp     
272801	3000	926 	1	LADYBUG.bmp 
279790	3000	1368	1	GLASS.bmp   
286795	3000	958 	1	NECKLACE.bmp
293798	3000	896 	1	SCREW.bmp   
300786	4000	1980	1	TIGER.bmp   
308792	3000	905 	1	LOCK.bmp    
315797	4000	1019	1	PLUG.bmp    
323786	3000	925 	1	PLIERS.bmp  
330790	4000	rien	0	MICROSCO.bmp
338796	3000	1272	1	HARMONIC.bmp
345785	3000	850 	1	PEAR.bmp    
352789	4000	839 	1	WHEEL.bmp   
360794	3000	1108	1	LIGHTBUL.bmp
367799	3000	952 	1	LAMP.bmp    
374788	4000	1130	1	MOTORCYC.bmp
382793	3000	rien	0	WEATHERV.bmp
389798	4000	1121	1	MOUNTAIN.bmp
397786	3000	1509	1	SQUIRREL.bmp
404791	4000	2113	1	WHIP.bmp    
412796	4000	1512	1	SHIRT.bmp   
420785	4000	1123	1	POT.bmp     
428790	4000	1122	1	Scale.bmp   
436796	3000	738 	1	NAIL.bmp    
443784	4000	971 	1	SNAKE.bmp   
451790	4000	798 	1	TIE.bmp     
459795	4000	1213	1	SAW.bmp     
467784	4000	1257	0	RING.bmp    
475790	4000	1015	1	SYRINGE.bmp 
483795	3000	942 	1	VASE.bmp    
490783	3000	1519	1	ski.bmp     
497787	4000	2241	1	SNAIL.bmp   
505793	4000	1358	1	SWAN.bmp    
513782	3000	822 	1	SKULL.bmp   
520786	3000	1554	1	PAINTBRU.bmp
527791	4000	783 	1	LION.bmp    
535797	3000	1598	1	HYENA.bmp   
542785	4000	961 	1	ZEBRA.bmp   
550790	3000	1223	1	TELEPHON.bmp
