onset	duration	response_time	value	stimuli
5353	2000	772	1	PIANO.bmp   
11355	3000	877	1	HARP.bmp    
18359	2000	1208	0	PELICAN.bmp 
24364	3000	928	1	LOCK.bmp    
31352	2000	865	1	PANTS.bmp   
37356	3000	1003	1	POT.bmp     
44361	3000	839	1	WINDOW.bmp  
51365	2000	1106	1	SQUIRREL.bmp
57353	3000	1191	0	ROOSTER.bmp 
64358	2000	1034	1	LAMP.bmp    
70362	3000	1096	0	PICTURE.bmp 
77350	3000	893	1	TRUMPET.bmp 
84355	2000	981	1	SHOE.bmp    
90359	3000	989	1	PLIERS.bmp  
97364	3000	874	1	UMBRELLA.bmp
104352	2000	1213	1	WEATHERV.bmp
110356	3000	927	1	MONKEY.bmp  
117361	3000	853	1	WHEEL.bmp   
124350	3000	1284	1	PIPE.bmp    
131353	2000	1287	1	PAINTBRU.bmp
137357	2000	1244	1	LEG.bmp     
143361	2000	1121	1	PALMTREE.bmp
149349	2000	883	1	GLASS.bmp   
155353	2000	858	1	RABBIT.bmp  
161357	2000	934	1	WHIP.bmp    
167361	3000	901	1	MOON.bmp    
174349	2000	800	1	SAW.bmp     
180354	3000	857	1	PEAR.bmp    
187358	2000	797	1	MOUNTAIN.bmp
193363	2000	1425	1	PLUG.bmp    
199350	3000	1427	1	PEACOCK.bmp 
206355	3000	944	1	Scale.bmp   
213360	3000	1022	1	NAIL.bmp    
220348	3000	966	1	SCREW.bmp   
227353	3000	912	1	SNAKE.bmp   
234358	2000	1015	1	NAILFILE.bmp
240361	2000	1301	1	CIGARETT.bmp
246348	2000	1014	1	LADDER.bmp  
252352	3000	931	1	SKULL.bmp   
259357	2000	918	1	SPIDER.bmp  
265361	3000	1029	1	LIGHTBUL.bmp
272349	2000	930	1	TIE.bmp     
278354	3000	1173	1	ski.bmp     
285358	3000	919	1	MOTORCYC.bmp
292347	2000	1431	1	SHIRT.bmp   
298351	2000	860	1	VASE.bmp    
304355	3000	884	1	SNAIL.bmp   
311360	3000	1140	1	LADYBUG.bmp 
318348	2000	946	1	TELEPHON.bmp
324352	2000	1099	1	TRACTOR.bmp 
330356	2000	884	1	NECKLACE.bmp
336360	2000	844	1	LION.bmp    
342348	3000	883	1	STOOL.bmp   
349352	3000	710	1	HAMMER.bmp  
356356	3000	1086	1	WATERING.bmp
363345	2000	796	1	NOSE.bmp    
369349	2000	1317	1	SKIRT.bmp   
375353	2000	800	1	ZEBRA.bmp   
381357	2000	2967	1	SWAN.bmp    
387345	2000	1064	1	WOLF.bmp    
393349	3000	822	1	MICROSCO.bmp
400354	3000	1066	1	TIGER.bmp   
407358	2000	1158	1	SYRINGE.bmp 
413346	3000	1312	1	HARMONIC.bmp
420351	2000	1301	1	OSTRICH.bmp 
426355	3000	1099	1	HYENA.bmp   
433343	3000	813	1	WELL.bmp    
440348	2000	843	1	HAT.bmp     
446352	2000	913	1	RAT.bmp     
452356	3000	1095	1	RULER.bmp   
459343	2000	898	1	KNIFE.bmp   
465347	3000	1332	1	RING.bmp    
472352	2000	837	1	SOCK.bmp    
478356	3000	862	1	ROCKET.bmp  
