onset	duration	response_time	value	stimuli
4158	4000	707 	1	SKULL.bmp   
12164	3000	784 	1	WHEEL.bmp   
19168	3000	1008	1	SNAIL.bmp   
26156	3000	1040	1	SHOE.bmp    
33161	3000	950 	1	PEAR.bmp    
40166	3000	914 	1	VASE.bmp    
47154	3000	962 	1	WELL.bmp    
54159	3000	1186	1	PICTURE.bmp 
61164	4000	916 	1	PEACOCK.bmp 
69152	3000	1050	1	ZEBRA.bmp   
76157	4000	1031	1	CIGARETT.bmp
84163	3000	957 	1	RULER.bmp   
91152	3000	1049	1	LOCK.bmp    
98156	3000	941 	1	PALMTREE.bmp
105161	4000	1147	1	SKIRT.bmp   
113166	3000	1060	1	PIANO.bmp   
120153	3000	1017	1	LION.bmp    
127158	4000	1135	1	HARP.bmp    
135164	3000	1135	1	RING.bmp    
142152	3000	1221	1	TIE.bmp     
149157	3000	1082	1	POT.bmp     
156161	4000	1409	0	NAIL.bmp    
164150	3000	1154	1	WINDOW.bmp  
171155	4000	1295	1	SPIDER.bmp  
179161	4000	950 	1	MOTORCYC.bmp
187150	4000	907 	1	SNAKE.bmp   
195155	4000	1170	1	NECKLACE.bmp
203161	4000	1017	1	TRACTOR.bmp 
211149	4000	842 	1	GLASS.bmp   
219155	3000	934 	1	NOSE.bmp    
226160	3000	956 	1	LADDER.bmp  
233148	4000	835 	1	HAMMER.bmp  
241152	4000	936 	1	ROCKET.bmp  
249158	3000	729 	1	SOCK.bmp    
256163	3000	1220	1	RAT.bmp     
263151	4000	1018	1	SQUIRREL.bmp
271157	4000	2506	1	TIGER.bmp   
279162	4000	1096	1	MONKEY.bmp  
287151	3000	1786	1	PLUG.bmp    
294156	4000	1158	1	PANTS.bmp   
302161	4000	1156	1	WATERING.bmp
310150	4000	1454	1	LADYBUG.bmp 
318156	3000	1391	1	SHIRT.bmp   
325160	3000	rien	0	MICROSCO.bmp
332148	3000	1347	0	LEG.bmp     
339152	4000	1096	1	ski.bmp     
347158	3000	858 	1	WOLF.bmp    
354146	4000	896 	1	HAT.bmp     
362152	4000	1095	1	LAMP.bmp    
370157	4000	1096	1	LIGHTBUL.bmp
378146	4000	1324	1	WEATHERV.bmp
386152	4000	1081	1	UMBRELLA.bmp
394157	3000	1166	1	SCREW.bmp   
401145	3000	1086	1	NAILFILE.bmp
408150	4000	1263	1	SAW.bmp     
416156	4000	1793	1	WHIP.bmp    
424144	4000	1427	1	Scale.bmp   
432150	3000	801 	1	MOON.bmp    
439155	4000	1686	1	OSTRICH.bmp 
447143	3000	1780	1	PLIERS.bmp  
454147	3000	1085	1	STOOL.bmp   
461152	4000	1211	1	HARMONIC.bmp
469142	3000	1642	1	HYENA.bmp   
476146	3000	1290	1	MOUNTAIN.bmp
483151	4000	1189	1	PIPE.bmp    
491156	3000	1607	1	PELICAN.bmp 
498145	3000	833 	1	SYRINGE.bmp 
505149	4000	1084	1	ROOSTER.bmp 
513155	3000	761 	1	KNIFE.bmp   
520143	4000	868 	1	SWAN.bmp    
528149	4000	842 	1	RABBIT.bmp  
536154	3000	847 	1	PAINTBRU.bmp
543141	4000	1009	1	TELEPHON.bmp
551147	3000	1218	1	TRUMPET.bmp 
