onset	duration	response_time	value	stimuli
3383	2000	1144	1	DONKEY.bmp  
9387	3000	784 	1	CHEESE.bmp  
16375	2000	1082	0	RAY.bmp     
22379	2000	1538	1	FLAG.bmp    
28383	3000	1051	1	DOGHOUSE.bmp
35388	2000	954 	1	BOTTLE.bmp  
41375	3000	3061	1	SCORPION.bmp
48380	3000	975 	1	BEAR.bmp    
55385	2000	960 	1	BUTTERFL.bmp
61373	2000	1089	1	CLOWN.bmp   
67377	3000	828 	1	GUITAR.bmp  
74382	3000	983 	1	EYE.bmp     
81387	2000	1098	1	COW.bmp     
87374	2000	1106	1	CUP.bmp     
93377	2000	792 	1	FORK.bmp    
99382	2000	828 	1	BENCH.bmp   
105385	2000	796 	1	CHIMNEY.bmp 
111373	3000	1050	1	ASHTRAY.bmp 
118378	2000	841 	1	frenchcr.bmp
124382	3000	1214	1	COAT.bmp    
131371	3000	987 	1	ELEPHANT.bmp
138375	2000	937 	1	GARBAGEC.bmp
144379	3000	1116	0	DRAGONFL.bmp
151384	3000	848 	1	DRESS.bmp   
158372	2000	883 	1	ENVELOPE.bmp
164376	3000	896 	1	BELT.bmp    
171381	2000	1344	1	ARTICHOK.bmp
177385	3000	928 	1	BOOT.bmp    
184374	2000	1529	1	ACORN.bmp   
190378	3000	1984	0	GORILLA.bmp 
197383	3000	884 	1	BOW.bmp     
204371	2000	704 	1	FISH.bmp    
210375	2000	946 	1	CORN.bmp    
216379	3000	1178	0	CAP.bmp     
223384	2000	666 	1	APPLE.bmp   
229372	2000	695 	1	EAR.bmp     
235376	3000	2618	0	CLOUD.bmp   
242380	2000	810 	1	GLOVE.bmp   
248384	2000	711 	1	BROOM.bmp   
254371	2000	690 	1	CARROT.bmp  
260375	3000	1145	1	FAN.bmp     
267380	2000	1324	1	DRESSER.bmp 
273369	2000	969 	1	CROWN.bmp   
279372	2000	902 	1	FAUCET.bmp  
285376	2000	895 	0	HAMMOCK.bmp 
291380	3000	4025	0	CANNON.bmp  
298369	2000	968 	1	FRYINGPA.bmp
304373	3000	694 	1	FLOWER.bmp  
311377	3000	869 	1	DOLPHIN.bmp 
318382	3000	1266	0	COMPASS.bmp 
325370	3000	833 	1	FEATHER.bmp 
332375	3000	2103	1	BOX.bmp     
339380	2000	rien	0	ALLIGATO.bmp
345368	3000	848 	1	BOWL.bmp    
352372	2000	535 	1	CAT.bmp     
358377	2000	961 	0	ANCHOR.bmp  
364381	3000	1075	1	CRAB.bmp    
371369	3000	926 	1	AIRPLANE.bmp
378374	3000	1951	1	ASPARAGU.bmp
385378	3000	1042	1	BIRDCAGE.bmp
392367	2000	1709	1	DOORKNOB.bmp
398370	3000	1476	1	DEER.bmp    
405375	2000	953 	1	BRAIN.bmp   
411379	3000	805 	1	BICYCLE.bmp 
418367	2000	1485	1	FUNNEL.bmp  
424371	3000	1137	0	AXE.bmp     
431376	3000	1206	1	BIRDNEST.bmp
438381	3000	1167	1	EAGLE.bmp   
445369	3000	858 	1	CHICKEN.bmp 
452374	3000	1113	1	BEE.bmp     
459379	2000	1063	1	DUSTPAN.bmp 
465366	3000	755 	1	CAR.bmp     
472371	2000	1045	1	ACCORDIO.bmp
478376	3000	901 	1	CATERPIL.bmp
