onset	duration	response_time	value	stimuli
6239	2000	1386	0	BIRDNEST.bmp
12243	2000	1027	1	APPLE.bmp   
18230	2000	1004	1	ANCHOR.bmp  
24234	3000	911 	1	GARBAGEC.bmp
31239	3000	771 	1	CHIMNEY.bmp 
38244	3000	879 	1	ELEPHANT.bmp
45232	3000	918 	1	CUP.bmp     
52237	2000	917 	1	CATERPIL.bmp
58241	3000	879 	1	EAR.bmp     
65230	2000	902 	1	SCORPION.bmp
71234	3000	959 	1	BIRDCAGE.bmp
78238	2000	2030	0	CLOUD.bmp   
84243	3000	1511	1	DEER.bmp    
91231	2000	1007	1	FAUCET.bmp  
97234	2000	995 	1	CRAB.bmp    
103238	3000	1638	1	RAY.bmp     
110243	3000	1106	1	AIRPLANE.bmp
117231	3000	1190	1	BEAR.bmp    
124236	2000	1321	0	EAGLE.bmp   
130240	2000	769 	1	FLOWER.bmp  
136228	2000	1405	1	GORILLA.bmp 
142232	3000	1785	0	BEE.bmp     
149236	3000	1264	0	COAT.bmp    
156241	2000	726 	1	BELT.bmp    
162229	2000	1177	1	ASPARAGU.bmp
168233	3000	901 	1	CHEESE.bmp  
175238	2000	834 	1	FISH.bmp    
181242	2000	1169	1	BOOT.bmp    
187229	2000	1795	1	DRAGONFL.bmp
193234	2000	1045	1	DOGHOUSE.bmp
199238	2000	1066	1	COW.bmp     
205241	3000	990 	1	CORN.bmp    
212229	2000	1885	1	EYE.bmp     
218233	2000	923 	1	BRAIN.bmp   
224237	3000	762 	1	BROOM.bmp   
231225	3000	859 	1	DOLPHIN.bmp 
238230	3000	892 	1	AXE.bmp     
245235	2000	837 	1	BOWL.bmp    
251239	3000	1354	1	COMPASS.bmp 
258227	3000	736 	1	CARROT.bmp  
265232	3000	647 	1	FORK.bmp    
272237	2000	768 	1	CAR.bmp     
278225	2000	826 	1	BENCH.bmp   
284229	2000	rien	0	FUNNEL.bmp  
290233	2000	1209	1	CROWN.bmp   
296237	2000	1213	1	CANNON.bmp  
302224	3000	683 	1	CAT.bmp     
309229	3000	rien	0	ASHTRAY.bmp 
316234	3000	721 	1	FEATHER.bmp 
323238	2000	1194	1	DRESS.bmp   
329225	3000	1232	1	DOORKNOB.bmp
336230	2000	1139	1	BOX.bmp     
342234	3000	1055	1	HAMMOCK.bmp 
349223	3000	1004	1	ACCORDIO.bmp
356227	3000	1307	0	ACORN.bmp   
363232	3000	1091	1	CHICKEN.bmp 
370237	3000	940 	1	CAP.bmp     
377225	3000	859 	1	GLOVE.bmp   
384230	3000	741 	1	BOTTLE.bmp  
391235	3000	801 	1	FLAG.bmp    
398223	2000	995 	1	ALLIGATO.bmp
404227	2000	1088	0	ENVELOPE.bmp
410231	2000	1189	1	FAN.bmp     
416236	3000	2025	1	DUSTPAN.bmp 
423223	3000	1267	1	FRYINGPA.bmp
430228	2000	1181	1	ARTICHOK.bmp
436232	2000	1053	1	GUITAR.bmp  
442236	3000	926 	1	DONKEY.bmp  
449224	3000	828 	1	frenchcr.bmp
456229	2000	842 	1	CLOWN.bmp   
462233	3000	926 	1	DRESSER.bmp 
469221	2000	843 	1	BUTTERFL.bmp
475225	3000	908 	1	BOW.bmp     
482230	2000	807 	1	BICYCLE.bmp 
