onset	duration	response_time	value	stimuli
3815	3000	1009	1	WINDOW.bmp  
10820	3000	812 	1	PALMTREE.bmp
17824	3000	1739	1	LAMP.bmp    
24813	2000	1223	0	MOON.bmp    
30817	2000	762 	1	PEAR.bmp    
36821	3000	828 	1	PAINTBRU.bmp
43826	3000	1141	1	LION.bmp    
50814	2000	998 	1	PANTS.bmp   
56818	3000	814 	1	PIANO.bmp   
63822	3000	858 	1	SWAN.bmp    
70810	3000	1208	1	HYENA.bmp   
77815	2000	rien	0	PEACOCK.bmp 
83819	2000	1184	0	PICTURE.bmp 
89823	2000	802 	1	RULER.bmp   
95811	2000	934 	1	RAT.bmp     
101815	3000	953 	0	MONKEY.bmp  
108820	3000	819 	1	TELEPHON.bmp
115809	2000	859 	1	SQUIRREL.bmp
121812	2000	759 	1	HAT.bmp     
127816	3000	860 	1	WELL.bmp    
134821	3000	1002	1	SPIDER.bmp  
141809	3000	1068	1	OSTRICH.bmp 
148814	3000	887 	1	SYRINGE.bmp 
155819	2000	915 	1	NECKLACE.bmp
161823	2000	706 	1	TIE.bmp     
167810	3000	1673	0	WEATHERV.bmp
174815	2000	924 	1	MOTORCYC.bmp
180819	3000	755 	1	SHOE.bmp    
187808	2000	895 	1	MICROSCO.bmp
193811	3000	810 	1	ZEBRA.bmp   
200816	3000	1425	0	SKIRT.bmp   
207821	2000	856 	1	HARP.bmp    
213808	2000	1206	1	WOLF.bmp    
219812	3000	1075	0	NAILFILE.bmp
226817	2000	1217	1	LIGHTBUL.bmp
232821	2000	1143	1	GLASS.bmp   
238809	2000	2162	1	HARMONIC.bmp
244813	2000	770 	1	PLUG.bmp    
250817	2000	876 	1	PIPE.bmp    
256821	3000	1478	1	LEG.bmp     
263809	3000	889 	1	Scale.bmp   
270814	2000	823 	1	SOCK.bmp    
276818	3000	920 	1	RABBIT.bmp  
283806	2000	873 	1	WATERING.bmp
289811	2000	888 	1	MOUNTAIN.bmp
295815	3000	915 	1	SHIRT.bmp   
302819	2000	1225	1	VASE.bmp    
308806	2000	1210	1	SKULL.bmp   
314810	2000	961 	1	ROCKET.bmp  
320814	2000	1211	1	TRACTOR.bmp 
326818	3000	1327	1	LADDER.bmp  
333807	3000	884 	1	UMBRELLA.bmp
340811	2000	925 	1	RING.bmp    
346816	3000	911 	1	WHEEL.bmp   
353805	3000	1263	1	POT.bmp     
360809	2000	1351	1	TIGER.bmp   
366813	2000	1188	1	ski.bmp     
372817	3000	881 	1	SNAIL.bmp   
379805	2000	741 	1	HAMMER.bmp  
385809	3000	893 	1	WHIP.bmp    
392814	2000	806 	1	SCREW.bmp   
398818	3000	1072	1	KNIFE.bmp   
405806	2000	832 	1	SAW.bmp     
411810	3000	949 	1	SNAKE.bmp   
418814	2000	1891	1	LADYBUG.bmp 
424803	2000	961 	1	LOCK.bmp    
430806	3000	915 	0	ROOSTER.bmp 
437811	2000	1358	1	PLIERS.bmp  
443815	2000	1315	1	NAIL.bmp    
449802	2000	910 	1	PELICAN.bmp 
455807	3000	753 	1	STOOL.bmp   
462811	3000	985 	1	CIGARETT.bmp
469816	3000	749 	1	TRUMPET.bmp 
476804	3000	829 	1	NOSE.bmp    
