onset	duration	response_time	value	stimuli
6598	4000	1239	0	CHIMNEY.bmp 
14604	3000	1223	1	AIRPLANE.bmp
21592	4000	1591	1	BICYCLE.bmp 
29597	3000	968 	1	CLOWN.bmp   
36602	3000	1190	1	BOX.bmp     
43590	4000	1083	1	ANCHOR.bmp  
51596	3000	943 	1	FLOWER.bmp  
58601	3000	rien	0	ARTICHOK.bmp
65589	3000	2044	1	FAN.bmp     
72594	4000	820 	1	CARROT.bmp  
80599	3000	1233	0	frenchcr.bmp
87588	4000	1249	1	BROOM.bmp   
95593	3000	1220	1	ASHTRAY.bmp 
102598	4000	1366	1	RAY.bmp     
110587	3000	1914	1	CHEESE.bmp  
117590	3000	1101	1	FEATHER.bmp 
124595	3000	1347	1	CLOUD.bmp   
131600	3000	2822	1	HAMMOCK.bmp 
138588	4000	rien	0	DRAGONFL.bmp
146594	4000	1235	1	BOOT.bmp    
154599	3000	1182	1	BENCH.bmp   
161588	4000	1142	1	GUITAR.bmp  
169593	4000	1437	0	CHICKEN.bmp 
177599	4000	1548	1	EYE.bmp     
185587	4000	1247	1	GARBAGEC.bmp
193593	3000	1379	1	ALLIGATO.bmp
200598	3000	1542	1	COW.bmp     
207586	4000	rien	0	ASPARAGU.bmp
215592	4000	1239	1	BEAR.bmp    
223597	4000	1318	0	DOLPHIN.bmp 
231585	3000	1516	1	FAUCET.bmp  
238590	3000	1506	1	ENVELOPE.bmp
245595	3000	1374	1	DONKEY.bmp  
252584	3000	1278	1	CRAB.bmp    
259588	4000	2067	1	DEER.bmp    
267593	4000	1432	1	FRYINGPA.bmp
275599	3000	1864	1	DUSTPAN.bmp 
282587	4000	1319	1	CORN.bmp    
290592	4000	1438	1	DOORKNOB.bmp
298598	3000	1188	1	AXE.bmp     
305586	4000	1115	1	BELT.bmp    
313592	3000	1515	1	EAR.bmp     
320597	4000	1046	1	FISH.bmp    
328585	4000	1112	1	GLOVE.bmp   
336590	4000	1356	0	EAGLE.bmp   
344595	3000	1376	1	FUNNEL.bmp  
351584	4000	805 	1	CAT.bmp     
359589	4000	1290	1	FORK.bmp    
367595	3000	1521	1	FLAG.bmp    
374583	4000	1222	1	ACORN.bmp   
382588	4000	1017	1	BIRDNEST.bmp
390594	3000	1950	1	COMPASS.bmp 
397582	4000	1875	1	CATERPIL.bmp
405588	4000	1173	1	CAR.bmp     
413593	3000	1655	0	COAT.bmp    
420581	4000	1771	0	BOW.bmp     
428587	4000	1479	1	CUP.bmp     
436592	3000	965 	1	GORILLA.bmp 
443581	3000	1540	1	BEE.bmp     
450584	4000	1389	0	BOTTLE.bmp  
458590	3000	1495	1	SCORPION.bmp
465595	3000	1077	1	CANNON.bmp  
472583	4000	1945	1	BIRDCAGE.bmp
480588	3000	1304	1	BUTTERFL.bmp
487593	4000	1627	1	CROWN.bmp   
495582	4000	1949	1	DOGHOUSE.bmp
503588	3000	1132	1	APPLE.bmp   
510592	4000	1234	1	BOWL.bmp    
518581	3000	1609	1	ACCORDIO.bmp
525586	3000	1490	1	BRAIN.bmp   
532591	4000	1562	1	CAP.bmp     
540580	3000	1061	1	DRESS.bmp   
547585	3000	1110	1	ELEPHANT.bmp
554590	4000	2390	0	DRESSER.bmp 
