onset	duration	response_time	value	stimuli
4418	3000	rien	0	ALLIGATO.bmp
11423	3000	1166	1	DRESS.bmp   
18411	3000	1026	1	AIRPLANE.bmp
25416	4000	1030	1	DONKEY.bmp  
33421	3000	1042	1	BROOM.bmp   
40410	4000	1136	1	BIRDNEST.bmp
48415	3000	1837	1	DOORKNOB.bmp
55420	4000	1203	1	COW.bmp     
63409	4000	934 	1	CUP.bmp     
71413	3000	1189	1	BEE.bmp     
78418	3000	1176	1	FRYINGPA.bmp
85407	3000	1158	1	FAN.bmp     
92411	4000	899 	1	BICYCLE.bmp 
100417	4000	1548	1	ASPARAGU.bmp
108407	4000	rien	0	DRAGONFL.bmp
116411	3000	1025	1	EAGLE.bmp   
123416	3000	826 	1	CAT.bmp     
130421	4000	1072	1	BUTTERFL.bmp
138410	3000	972 	1	GUITAR.bmp  
145415	4000	1023	0	GORILLA.bmp 
153420	4000	1445	1	EYE.bmp     
161409	4000	1320	1	FUNNEL.bmp  
169414	3000	828 	1	APPLE.bmp   
176419	4000	992 	1	ACORN.bmp   
184408	4000	1141	1	CHICKEN.bmp 
192413	4000	1048	1	ENVELOPE.bmp
200418	4000	816 	1	FISH.bmp    
208407	3000	1023	1	FAUCET.bmp  
215412	3000	915 	1	CAR.bmp     
222417	3000	1246	1	ELEPHANT.bmp
229405	3000	1591	1	CANNON.bmp  
236410	4000	1032	1	FLAG.bmp    
244415	3000	925 	1	BOOT.bmp    
251404	3000	1093	1	CHIMNEY.bmp 
258408	4000	996 	1	GLOVE.bmp   
266414	4000	1926	1	ARTICHOK.bmp
274404	3000	1423	1	CRAB.bmp    
281408	4000	2605	1	SCORPION.bmp
289413	3000	1057	1	GARBAGEC.bmp
296418	4000	1581	1	DEER.bmp    
304407	4000	1140	1	DOLPHIN.bmp 
312413	4000	2227	0	CAP.bmp     
320417	3000	2554	1	HAMMOCK.bmp 
327406	3000	968 	1	BOWL.bmp    
334410	4000	1027	1	BELT.bmp    
342416	3000	984 	1	DOGHOUSE.bmp
349404	3000	1048	0	BIRDCAGE.bmp
356409	4000	1045	1	BOW.bmp     
364414	3000	1003	1	CARROT.bmp  
371402	3000	922 	1	BRAIN.bmp   
378407	4000	1489	1	CLOWN.bmp   
386413	3000	1046	1	BOTTLE.bmp  
393402	3000	1454	1	BEAR.bmp    
400406	4000	1242	1	DRESSER.bmp 
408411	3000	rien	0	CLOUD.bmp   
415416	3000	1281	1	CROWN.bmp   
422404	4000	1054	1	CHEESE.bmp  
430410	4000	1636	1	COMPASS.bmp 
438415	3000	1111	1	EAR.bmp     
445404	4000	1063	0	AXE.bmp     
453409	4000	1743	1	DUSTPAN.bmp 
461414	3000	1000	1	BENCH.bmp   
468402	4000	1830	1	ASHTRAY.bmp 
476407	4000	1068	1	COAT.bmp    
484413	3000	1640	0	CATERPIL.bmp
491401	4000	1928	0	RAY.bmp     
499407	4000	1010	1	FORK.bmp    
507412	4000	1490	0	BOX.bmp     
515401	3000	rien	0	ACCORDIO.bmp
522406	4000	996 	1	CORN.bmp    
530411	4000	994 	1	FLOWER.bmp  
538400	3000	1422	0	ANCHOR.bmp  
545405	4000	920 	1	frenchcr.bmp
553411	3000	956 	1	FEATHER.bmp 
