onset	duration	response_time	value	stimuli
4174	3000	1917	0	HYENA.bmp   
11179	4000	1333	1	NAIL.bmp    
19168	4000	1028	1	TIE.bmp     
27173	3000	1113	1	VASE.bmp    
34178	3000	1351	1	RABBIT.bmp  
41167	4000	1423	1	MOUNTAIN.bmp
49172	4000	2045	1	SPIDER.bmp  
57177	4000	1964	1	TIGER.bmp   
65167	3000	1815	1	HAMMER.bmp  
72171	3000	1657	1	WOLF.bmp    
79176	4000	rien	0	HARMONIC.bmp
87182	4000	1782	1	WELL.bmp    
95170	4000	1909	1	SKIRT.bmp   
103175	4000	1687	1	ROCKET.bmp  
111181	3000	2396	0	WATERING.bmp
118169	3000	2406	1	PLIERS.bmp  
125174	3000	1435	0	PICTURE.bmp 
132179	4000	1375	1	PAINTBRU.bmp
140167	4000	1443	1	WHEEL.bmp   
148173	3000	1583	1	NECKLACE.bmp
155178	4000	2012	1	SQUIRREL.bmp
163167	4000	1936	1	TRACTOR.bmp 
171172	4000	2729	1	SCREW.bmp   
179178	4000	1634	0	LADYBUG.bmp 
187167	3000	1575	1	PIANO.bmp   
194172	3000	1374	1	SOCK.bmp    
201176	3000	1657	1	UMBRELLA.bmp
208181	4000	1656	1	LAMP.bmp    
216170	4000	1389	1	PIPE.bmp    
224176	3000	1551	1	TELEPHON.bmp
231179	4000	1614	1	MOON.bmp    
239168	3000	1542	1	STOOL.bmp   
246173	3000	1177	1	SWAN.bmp    
253178	3000	2142	1	PELICAN.bmp 
260166	4000	1304	1	ROOSTER.bmp 
268172	3000	1842	1	LION.bmp    
275177	4000	1839	1	MICROSCO.bmp
283166	3000	1970	1	SKULL.bmp   
290170	4000	1471	1	PEAR.bmp    
298176	3000	1457	1	PANTS.bmp   
305165	4000	2141	1	SNAKE.bmp   
313170	3000	1724	1	SNAIL.bmp   
320175	4000	2708	1	TRUMPET.bmp 
328180	3000	1729	1	PLUG.bmp    
335168	4000	1190	1	HAT.bmp     
343174	3000	1263	1	SHOE.bmp    
350179	3000	3774	1	OSTRICH.bmp 
357167	3000	1469	1	PALMTREE.bmp
364172	3000	1500	1	SAW.bmp     
371176	4000	1411	0	LOCK.bmp    
379165	3000	2039	1	RULER.bmp   
386169	4000	1922	1	WHIP.bmp    
394175	3000	1477	1	CIGARETT.bmp
401180	3000	1731	1	POT.bmp     
408168	4000	1418	0	LIGHTBUL.bmp
416173	4000	1924	1	MOTORCYC.bmp
424179	3000	2017	1	ski.bmp     
431167	3000	1469	0	NAILFILE.bmp
438172	3000	2127	1	LADDER.bmp  
445177	3000	1659	1	SHIRT.bmp   
452165	4000	1677	1	ZEBRA.bmp   
460171	4000	1225	1	NOSE.bmp    
468176	3000	1705	1	SYRINGE.bmp 
475165	4000	2407	1	KNIFE.bmp   
483170	3000	1433	1	RING.bmp    
490175	4000	1349	1	GLASS.bmp   
498180	3000	1413	1	LEG.bmp     
505168	3000	rien	0	WEATHERV.bmp
512173	4000	1864	1	PEACOCK.bmp 
520178	4000	1593	1	WINDOW.bmp  
528167	3000	1140	1	MONKEY.bmp  
535172	4000	1877	1	Scale.bmp   
543177	3000	1824	1	HARP.bmp    
550165	4000	1489	0	RAT.bmp     
